G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Sun Dec 25 2011,7:30p EST,,Box Score,@,Golden State Warriors,W,,105,86,1,0,W 1,
2,Wed Dec 28 2011,7:30p EST,,Box Score,@,San Antonio Spurs,L,,90,115,1,1,L 1,
3,Fri Dec 30 2011,7:30p EST,,Box Score,,Chicago Bulls,L,,101,114,1,2,L 2,
4,Sun Jan 1 2012,6:30p EST,,Box Score,,Portland Trail Blazers,W,,93,88,2,2,W 1,
5,Wed Jan 4 2012,7:30p EST,,Box Score,,Houston Rockets,W,,117,89,3,2,W 2,
6,Sat Jan 7 2012,7:30p EST,,Box Score,,Milwaukee Bucks,W,,92,86,4,2,W 3,
7,Tue Jan 10 2012,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,97,105,4,3,L 1,
8,Wed Jan 11 2012,7:30p EST,,Box Score,,Miami Heat,W,OT,95,89,5,3,W 1,
9,Sat Jan 14 2012,7:30p EST,,Box Score,,Los Angeles Lakers,W,,102,94,6,3,W 2,
10,Mon Jan 16 2012,12:30p EST,,Box Score,,New Jersey Nets,W,,101,91,7,3,W 3,
11,Tue Jan 17 2012,7:00p EST,,Box Score,@,Utah Jazz,L,,79,108,7,4,L 1,
12,Wed Jan 18 2012,7:30p EST,,Box Score,,Dallas Mavericks,W,,91,89,8,4,W 1,
13,Fri Jan 20 2012,7:30p EST,,Box Score,,Minnesota Timberwolves,L,,98,101,8,5,L 1,
14,Sun Jan 22 2012,12:30p EST,,Box Score,,Toronto Raptors,W,,103,91,9,5,W 1,
15,Wed Jan 25 2012,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,91,96,9,6,L 1,
16,Thu Jan 26 2012,7:30p EST,,Box Score,,Memphis Grizzlies,W,,98,91,10,6,W 1,
17,Sun Jan 29 2012,6:00p EST,,Box Score,@,Denver Nuggets,W,,109,105,11,6,W 2,
18,Mon Jan 30 2012,7:30p EST,,Box Score,,Oklahoma City Thunder,W,,112,100,12,6,W 3,
19,Wed Feb 1 2012,8:30p EST,,Box Score,@,Utah Jazz,W,,107,105,13,6,W 4,
20,Thu Feb 2 2012,7:30p EST,,Box Score,,Denver Nuggets,L,,91,112,13,7,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sat Feb 4 2012,7:00p EST,,Box Score,@,Washington Wizards,W,,107,81,14,7,W 1,
22,Mon Feb 6 2012,7:00p EST,,Box Score,@,Orlando Magic,W,OT,107,102,15,7,W 2,
23,Wed Feb 8 2012,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,92,99,15,8,L 1,
24,Fri Feb 10 2012,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,78,77,16,8,W 1,
25,Sat Feb 11 2012,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,111,86,17,8,W 2,
26,Mon Feb 13 2012,7:30p EST,,Box Score,@,Dallas Mavericks,L,,92,96,17,9,L 1,
27,Wed Feb 15 2012,7:30p EST,,Box Score,,Washington Wizards,W,,102,84,18,9,W 1,
28,Thu Feb 16 2012,7:30p EST,,Box Score,@,Portland Trail Blazers,W,,74,71,19,9,W 2,
29,Sat Feb 18 2012,12:30p EST,,Box Score,,San Antonio Spurs,L,OT,100,103,19,10,L 1,
30,Mon Feb 20 2012,7:30p EST,,Box Score,@,Golden State Warriors,L,,97,104,19,11,L 2,
31,Wed Feb 22 2012,7:30p EST,,Box Score,,Denver Nuggets,W,,103,95,20,11,W 1,
32,Tue Feb 28 2012,7:30p EST,,Box Score,,Minnesota Timberwolves,L,,97,109,20,12,L 1,
33,Thu Mar 1 2012,7:00p EST,,Box Score,@,Sacramento Kings,W,,108,100,21,12,W 1,
34,Fri Mar 2 2012,8:30p EST,,Box Score,@,Phoenix Suns,L,,78,81,21,13,L 1,
35,Sun Mar 4 2012,6:00p EST,,Box Score,@,Houston Rockets,W,OT,105,103,22,13,W 1,
36,Mon Mar 5 2012,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,94,95,22,14,L 1,
37,Wed Mar 7 2012,8:00p EST,,Box Score,@,New Jersey Nets,L,,100,101,22,15,L 2,
38,Fri Mar 9 2012,7:30p EST,,Box Score,@,San Antonio Spurs,W,,120,108,23,15,W 1,
39,Sun Mar 11 2012,6:30p EST,,Box Score,,Golden State Warriors,L,,93,97,23,16,L 1,
40,Mon Mar 12 2012,7:30p EST,,Box Score,,Boston Celtics,L,,85,94,23,17,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Wed Mar 14 2012,7:30p EST,,Box Score,,Atlanta Hawks,W,,96,82,24,17,W 1,
42,Thu Mar 15 2012,7:30p EST,,Box Score,,Phoenix Suns,L,,87,91,24,18,L 1,
43,Sat Mar 17 2012,12:30p EST,,Box Score,,Houston Rockets,W,,95,91,25,18,W 1,
44,Sun Mar 18 2012,12:30p EST,,Box Score,,Detroit Pistons,W,OT,87,83,26,18,W 2,
45,Tue Mar 20 2012,7:00p EST,,Box Score,@,Indiana Pacers,L,,89,102,26,19,L 1,
46,Wed Mar 21 2012,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,91,114,26,20,L 2,
47,Thu Mar 22 2012,7:00p EST,,Box Score,@,New Orleans Hornets,L,,90,97,26,21,L 3,
48,Sat Mar 24 2012,12:00p EST,,Box Score,,Memphis Grizzlies,W,,101,85,27,21,W 1,
49,Mon Mar 26 2012,7:30p EST,,Box Score,,New Orleans Hornets,W,,97,85,28,21,W 2,
50,Wed Mar 28 2012,7:30p EST,,Box Score,,Phoenix Suns,W,,103,86,29,21,W 3,
51,Fri Mar 30 2012,7:30p EST,,Box Score,,Portland Trail Blazers,W,,98,97,30,21,W 4,
52,Sat Mar 31 2012,7:30p EST,,Box Score,,Utah Jazz,W,,105,96,31,21,W 5,
53,Mon Apr 2 2012,7:30p EST,,Box Score,@,Dallas Mavericks,W,,94,75,32,21,W 6,
54,Wed Apr 4 2012,7:30p EST,,Box Score,,Los Angeles Lakers,L,,108,113,32,22,L 1,
55,Thu Apr 5 2012,7:00p EST,,Box Score,@,Sacramento Kings,W,,93,85,33,22,W 1,
56,Sat Apr 7 2012,7:30p EST,,Box Score,,Sacramento Kings,W,,109,94,34,22,W 2,
57,Mon Apr 9 2012,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,85,94,34,23,L 1,
58,Wed Apr 11 2012,7:00p EST,,Box Score,@,Oklahoma City Thunder,W,,100,98,35,23,W 1,
59,Thu Apr 12 2012,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,95,82,36,23,W 2,
60,Sat Apr 14 2012,12:30p EST,,Box Score,,Golden State Warriors,W,,112,104,37,23,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Mon Apr 16 2012,7:30p EST,,Box Score,,Oklahoma City Thunder,W,,92,77,38,23,W 4,
62,Wed Apr 18 2012,7:00p EST,,Box Score,@,Denver Nuggets,W,,104,98,39,23,W 5,
63,Thu Apr 19 2012,7:30p EST,,Box Score,@,Phoenix Suns,L,,90,93,39,24,L 1,
64,Sun Apr 22 2012,6:30p EST,,Box Score,,New Orleans Hornets,W,,107,98,40,24,W 1,
65,Tue Apr 24 2012,7:30p EST,,Box Score,@,Atlanta Hawks,L,,102,109,40,25,L 1,
66,Wed Apr 25 2012,8:00p EST,,Box Score,@,New York Knicks,L,,93,99,40,26,L 2,
