G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Mon Dec 26 2011,7:00p EST,,Box Score,,Philadelphia 76ers,W,,107,103,1,0,W 1,
2,Tue Dec 27 2011,7:00p EST,,Box Score,,Sacramento Kings,W,,101,79,2,0,W 2,
3,Thu Dec 29 2011,7:00p EST,,Box Score,,Denver Nuggets,W,,111,102,3,0,W 3,
4,Sun Jan 1 2012,6:30p EST,,Box Score,@,Los Angeles Clippers,L,,88,93,3,1,L 1,
5,Tue Jan 3 2012,7:00p EST,,Box Score,@,Oklahoma City Thunder,W,,103,93,4,1,W 1,
6,Thu Jan 5 2012,7:30p EST,,Box Score,,Los Angeles Lakers,W,,107,96,5,1,W 2,
7,Fri Jan 6 2012,8:30p EST,,Box Score,@,Phoenix Suns,L,,77,102,5,2,L 1,
8,Sun Jan 8 2012,6:00p EST,,Box Score,,Cleveland Cavaliers,W,,98,78,6,2,W 1,
9,Tue Jan 10 2012,7:00p EST,,Box Score,,Los Angeles Clippers,W,,105,97,7,2,W 2,
10,Wed Jan 11 2012,7:00p EST,,Box Score,,Orlando Magic,L,,104,107,7,3,L 1,
11,Fri Jan 13 2012,7:30p EST,,Box Score,@,San Antonio Spurs,L,,83,99,7,4,L 2,
12,Sat Jan 14 2012,7:00p EST,,Box Score,@,Houston Rockets,L,OT,105,107,7,5,L 3,
13,Mon Jan 16 2012,2:00p EST,,Box Score,@,New Orleans Hornets,W,,84,77,8,5,W 1,
14,Wed Jan 18 2012,8:00p EST,,Box Score,@,Atlanta Hawks,L,,89,92,8,6,L 1,
15,Fri Jan 20 2012,7:00p EST,,Box Score,@,Toronto Raptors,W,,94,84,9,6,W 1,
16,Sat Jan 21 2012,7:30p EST,,Box Score,@,Detroit Pistons,L,,91,94,9,7,L 1,
17,Mon Jan 23 2012,7:00p EST,,Box Score,,Sacramento Kings,W,,101,89,10,7,W 1,
18,Tue Jan 24 2012,7:00p EST,,Box Score,,Memphis Grizzlies,W,,97,84,11,7,W 2,
19,Wed Jan 25 2012,7:30p EST,,Box Score,@,Golden State Warriors,L,,93,101,11,8,L 1,
20,Fri Jan 27 2012,7:00p EST,,Box Score,,Phoenix Suns,W,,109,71,12,8,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Mon Jan 30 2012,7:00p EST,,Box Score,@,Utah Jazz,L,,89,93,12,9,L 1,
22,Wed Feb 1 2012,7:00p EST,,Box Score,,Charlotte Bobcats,W,,112,68,13,9,W 1,
23,Thu Feb 2 2012,7:00p EST,,Box Score,@,Sacramento Kings,L,,92,95,13,10,L 1,
