G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
31,Mon Dec 31 2012,5:00p EST,,Box Score,,Miami Heat,L,OT,110,112,12,19,L 6,
32,Wed Jan 2 2013,7:00p EST,,Box Score,,Chicago Bulls,L,,94,96,12,20,L 7,
33,Sat Jan 5 2013,7:00p EST,,Box Score,,New York Knicks,L,,106,114,12,21,L 8,
34,Mon Jan 7 2013,7:00p EST,,Box Score,@,Portland Trail Blazers,L,OT,119,125,12,22,L 9,
35,Wed Jan 9 2013,7:00p EST,,Box Score,@,Denver Nuggets,L,,105,108,12,23,L 10,
36,Sat Jan 12 2013,12:30p EST,,Box Score,@,Los Angeles Clippers,W,,104,101,13,23,W 1,
37,Mon Jan 14 2013,7:00p EST,,Box Score,@,Washington Wizards,L,,91,120,13,24,L 1,
38,Wed Jan 16 2013,7:00p EST,,Box Score,,Indiana Pacers,W,,97,86,14,24,W 1,
39,Fri Jan 18 2013,7:00p EST,,Box Score,,Charlotte Bobcats,L,,100,106,14,25,L 1,
40,Sun Jan 20 2013,6:00p EST,,Box Score,,Dallas Mavericks,L,,105,111,14,26,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Tue Jan 22 2013,7:30p EST,,Box Score,@,Detroit Pistons,L,,90,105,14,27,L 3,
42,Thu Jan 24 2013,7:00p EST,,Box Score,,Toronto Raptors,L,,95,97,14,28,L 4,
43,Sun Jan 27 2013,6:00p EST,,Box Score,,Detroit Pistons,L,,102,104,14,29,L 5,
44,Mon Jan 28 2013,7:30p EST,,Box Score,@,Brooklyn Nets,L,,77,97,14,30,L 6,
45,Wed Jan 30 2013,7:30p EST,,Box Score,@,New York Knicks,L,,97,113,14,31,L 7,
46,Fri Feb 1 2013,7:30p EST,,Box Score,@,Boston Celtics,L,,84,97,14,32,L 8,
47,Sat Feb 2 2013,7:30p EST,,Box Score,@,Milwaukee Bucks,L,,98,107,14,33,L 9,
48,Mon Feb 4 2013,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,61,78,14,34,L 10,
49,Wed Feb 6 2013,7:00p EST,,Box Score,,Los Angeles Clippers,L,,76,86,14,35,L 11,
50,Fri Feb 8 2013,7:30p EST,,Box Score,@,Cleveland Cavaliers,L,,108,119,14,36,L 12,
51,Sun Feb 10 2013,6:00p EST,,Box Score,,Portland Trail Blazers,W,,110,104,15,36,W 1,
52,Wed Feb 13 2013,7:00p EST,,Box Score,,Atlanta Hawks,L,,76,108,15,37,L 1,
53,Tue Feb 19 2013,7:00p EST,,Box Score,,Charlotte Bobcats,L,,92,105,15,38,L 2,
54,Wed Feb 20 2013,7:30p EST,,Box Score,@,Dallas Mavericks,L,,96,111,15,39,L 3,
55,Fri Feb 22 2013,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,82,88,15,40,L 4,
56,Sat Feb 23 2013,7:00p EST,,Box Score,,Cleveland Cavaliers,L,,94,118,15,41,L 5,
57,Tue Feb 26 2013,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,98,84,16,41,W 1,
58,Wed Feb 27 2013,7:00p EST,,Box Score,,Sacramento Kings,L,,101,125,16,42,L 1,
59,Fri Mar 1 2013,7:00p EST,,Box Score,,Houston Rockets,L,,110,118,16,43,L 2,
60,Sun Mar 3 2013,6:00p EST,,Box Score,,Memphis Grizzlies,L,,82,108,16,44,L 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Mon Mar 4 2013,7:00p EST,,Box Score,@,New Orleans Hornets,W,,105,102,17,44,W 1,
62,Wed Mar 6 2013,7:30p EST,,Box Score,@,Miami Heat,L,,96,97,17,45,L 1,
63,Fri Mar 8 2013,7:00p EST,,Box Score,,Indiana Pacers,L,,86,115,17,46,L 2,
64,Sun Mar 10 2013,6:00p EST,,Box Score,,Philadelphia 76ers,W,,99,91,18,46,W 1,
65,Tue Mar 12 2013,7:00p EST,,Box Score,,Los Angeles Lakers,L,,97,106,18,47,L 1,
66,Fri Mar 15 2013,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,104,117,18,48,L 2,
67,Sun Mar 17 2013,12:00p EST,,Box Score,@,Milwaukee Bucks,L,,109,115,18,49,L 3,
68,Tue Mar 19 2013,7:00p EST,,Box Score,@,Indiana Pacers,L,,73,95,18,50,L 4,
69,Wed Mar 20 2013,7:30p EST,,Box Score,@,New York Knicks,L,,94,106,18,51,L 5,
70,Fri Mar 22 2013,7:00p EST,,Box Score,,Oklahoma City Thunder,L,,89,97,18,52,L 6,
71,Mon Mar 25 2013,7:00p EST,,Box Score,,Miami Heat,L,,94,108,18,53,L 7,
72,Wed Mar 27 2013,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,108,114,18,54,L 8,
73,Fri Mar 29 2013,7:00p EST,,Box Score,,Washington Wizards,W,,97,92,19,54,W 1,
74,Sat Mar 30 2013,7:00p EST,,Box Score,@,Atlanta Hawks,L,,88,97,19,55,L 1,
75,Mon Apr 1 2013,7:00p EST,,Box Score,@,Houston Rockets,L,,103,111,19,56,L 2,
76,Wed Apr 3 2013,7:30p EST,,Box Score,@,San Antonio Spurs,L,,84,98,19,57,L 3,
77,Fri Apr 5 2013,7:00p EST,,Box Score,@,Chicago Bulls,L,,86,87,19,58,L 4,
78,Sun Apr 7 2013,6:00p EST,,Box Score,@,Cleveland Cavaliers,L,,85,91,19,59,L 5,
79,Wed Apr 10 2013,7:00p EST,,Box Score,,Milwaukee Bucks,W,OT,113,103,20,59,W 1,
80,Sat Apr 13 2013,7:00p EST,,Box Score,,Boston Celtics,L,,88,120,20,60,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 15 2013,7:00p EST,,Box Score,,Chicago Bulls,L,,84,102,20,61,L 2,
82,Wed Apr 17 2013,8:00p EST,,Box Score,@,Miami Heat,L,,93,105,20,62,L 3,
