G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,Wed Jan 23 2013,7:00p EST,,Box Score,,Atlanta Hawks,L,,92,104,10,32,L 3,
43,Sat Jan 26 2013,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,102,101,11,32,W 1,
44,Mon Jan 28 2013,7:00p EST,,Box Score,@,Chicago Bulls,L,,85,93,11,33,L 1,
45,Wed Jan 30 2013,7:30p EST,,Box Score,@,San Antonio Spurs,L,,78,102,11,34,L 2,
46,Sat Feb 2 2013,7:00p EST,,Box Score,@,Houston Rockets,L,,95,109,11,35,L 3,
47,Mon Feb 4 2013,7:30p EST,,Box Score,@,Miami Heat,L,,94,99,11,36,L 4,
48,Wed Feb 6 2013,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,95,122,11,37,L 5,
49,Fri Feb 8 2013,7:00p EST,,Box Score,,Los Angeles Lakers,L,,93,100,11,38,L 6,
50,Sat Feb 9 2013,8:00p EST,,Box Score,@,Philadelphia 76ers,L,,76,87,11,39,L 7,
51,Mon Feb 11 2013,7:00p EST,,Box Score,,Boston Celtics,W,,94,91,12,39,W 1,
52,Wed Feb 13 2013,7:00p EST,,Box Score,@,Indiana Pacers,L,,77,101,12,40,L 1,
53,Tue Feb 19 2013,7:00p EST,,Box Score,@,Orlando Magic,W,,105,92,13,40,W 1,
54,Wed Feb 20 2013,7:00p EST,,Box Score,,Detroit Pistons,L,,99,105,13,41,L 1,
55,Fri Feb 22 2013,7:00p EST,,Box Score,,Chicago Bulls,L,,75,105,13,42,L 2,
56,Sat Feb 23 2013,7:00p EST,,Box Score,,Denver Nuggets,L,,99,113,13,43,L 3,
57,Tue Feb 26 2013,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,84,106,13,44,L 4,
58,Fri Mar 1 2013,7:00p EST,,Box Score,@,Utah Jazz,L,,68,98,13,45,L 5,
59,Sun Mar 3 2013,3:00p EST,,Box Score,@,Sacramento Kings,L,,83,119,13,46,L 6,
60,Mon Mar 4 2013,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,105,122,13,47,L 7,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Wed Mar 6 2013,7:00p EST,,Box Score,,Brooklyn Nets,L,,78,99,13,48,L 8,
62,Fri Mar 8 2013,7:00p EST,,Box Score,,Oklahoma City Thunder,L,,94,116,13,49,L 9,
63,Sat Mar 9 2013,8:00p EST,,Box Score,@,Washington Wizards,L,,87,104,13,50,L 10,
64,Tue Mar 12 2013,7:00p EST,,Box Score,,Boston Celtics,W,,100,74,14,50,W 1,
65,Fri Mar 15 2013,7:00p EST,,Box Score,@,Toronto Raptors,L,,78,92,14,51,L 1,
66,Sat Mar 16 2013,7:30p EST,,Box Score,@,Boston Celtics,L,,88,105,14,52,L 2,
67,Mon Mar 18 2013,7:00p EST,,Box Score,,Washington Wizards,W,,119,114,15,52,W 1,
68,Wed Mar 20 2013,7:00p EST,,Box Score,,Toronto Raptors,W,,107,101,16,52,W 2,
69,Sat Mar 23 2013,7:00p EST,,Box Score,,Detroit Pistons,L,,91,92,16,53,L 1,
70,Sun Mar 24 2013,6:00p EST,,Box Score,@,Miami Heat,L,,77,109,16,54,L 2,
71,Wed Mar 27 2013,7:00p EST,,Box Score,,Orlando Magic,W,,114,108,17,54,W 1,
72,Fri Mar 29 2013,7:30p EST,,Box Score,@,New York Knicks,L,,102,111,17,55,L 1,
73,Sat Mar 30 2013,8:00p EST,,Box Score,@,Philadelphia 76ers,L,,92,100,17,56,L 2,
74,Mon Apr 1 2013,7:00p EST,,Box Score,@,Milwaukee Bucks,L,,102,131,17,57,L 3,
75,Wed Apr 3 2013,7:00p EST,,Box Score,,Philadelphia 76ers,W,,88,83,18,57,W 1,
76,Fri Apr 5 2013,8:00p EST,,Box Score,,Miami Heat,L,,79,89,18,58,L 1,
77,Sat Apr 6 2013,7:30p EST,,Box Score,@,Brooklyn Nets,L,,96,105,18,59,L 2,
78,Tue Apr 9 2013,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,75,94,18,60,L 3,
79,Fri Apr 12 2013,7:30p EST,,Box Score,@,Detroit Pistons,L,,93,113,18,61,L 4,
80,Sat Apr 13 2013,7:00p EST,,Box Score,,Milwaukee Bucks,W,,95,85,19,61,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 15 2013,7:00p EST,,Box Score,,New York Knicks,W,,106,95,20,61,W 2,
82,Wed Apr 17 2013,8:00p EST,,Box Score,,Cleveland Cavaliers,W,,105,98,21,61,W 3,
