G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
57,Wed Apr 11 2012,7:30p EST,,Box Score,@,Portland Trail Blazers,L,,110,118,22,35,L 2,
58,Thu Apr 12 2012,7:30p EST,,Box Score,,Dallas Mavericks,L,,103,112,22,36,L 3,
59,Sat Apr 14 2012,12:30p EST,,Box Score,@,Los Angeles Clippers,L,,104,112,22,37,L 4,
60,Mon Apr 16 2012,7:30p EST,,Box Score,,San Antonio Spurs,L,,99,120,22,38,L 5,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Wed Apr 18 2012,7:30p EST,,Box Score,,Los Angeles Lakers,L,,87,99,22,39,L 6,
62,Fri Apr 20 2012,7:30p EST,,Box Score,@,Dallas Mavericks,L,,94,104,22,40,L 7,
63,Sat Apr 21 2012,7:00p EST,,Box Score,@,Houston Rockets,L,,96,99,22,41,L 8,
64,Sun Apr 22 2012,6:00p EST,,Box Score,@,Minnesota Timberwolves,W,,93,88,23,41,W 1,
65,Tue Apr 24 2012,7:30p EST,,Box Score,,New Orleans Hornets,L,,81,83,23,42,L 1,
66,Thu Apr 26 2012,7:30p EST,,Box Score,,San Antonio Spurs,L,,101,107,23,43,L 2,
