G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Sun Dec 25 2011,2:00p EST,,Box Score,,Chicago Bulls,L,,87,88,0,1,L 1,
2,Mon Dec 26 2011,7:00p EST,,Box Score,@,Sacramento Kings,L,,91,100,0,2,L 2,
3,Tue Dec 27 2011,7:30p EST,,Box Score,,Utah Jazz,W,,96,71,1,2,W 1,
4,Thu Dec 29 2011,7:30p EST,,Box Score,,New York Knicks,W,,99,82,2,2,W 2,
5,Sat Dec 31 2011,12:30p EST,,Box Score,,Denver Nuggets,W,,92,89,3,2,W 3,
6,Sun Jan 1 2012,6:00p EST,,Box Score,@,Denver Nuggets,L,,90,99,3,3,L 1,
7,Tue Jan 3 2012,7:30p EST,,Box Score,,Houston Rockets,W,,108,99,4,3,W 1,
8,Thu Jan 5 2012,7:30p EST,,Box Score,@,Portland Trail Blazers,L,,96,107,4,4,L 1,
9,Fri Jan 6 2012,7:30p EST,,Box Score,,Golden State Warriors,W,,97,90,5,4,W 1,
10,Sun Jan 8 2012,6:30p EST,,Box Score,,Memphis Grizzlies,W,,90,82,6,4,W 2,
11,Tue Jan 10 2012,7:30p EST,,Box Score,,Phoenix Suns,W,,99,83,7,4,W 3,
12,Wed Jan 11 2012,7:00p EST,,Box Score,@,Utah Jazz,W,OT,90,87,8,4,W 4,
13,Fri Jan 13 2012,7:30p EST,,Box Score,,Cleveland Cavaliers,W,,97,92,9,4,W 5,
14,Sat Jan 14 2012,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,94,102,9,5,L 1,
15,Mon Jan 16 2012,7:30p EST,,Box Score,,Dallas Mavericks,W,,73,70,10,5,W 1,
16,Thu Jan 19 2012,8:00p EST,,Box Score,@,Miami Heat,L,,87,98,10,6,L 1,
17,Fri Jan 20 2012,8:00p EST,,Box Score,@,Orlando Magic,L,,80,92,10,7,L 2,
18,Sun Jan 22 2012,6:30p EST,,Box Score,,Indiana Pacers,L,,96,98,10,8,L 3,
19,Wed Jan 25 2012,7:30p EST,,Box Score,,Los Angeles Clippers,W,,96,91,11,8,W 1,
20,Sat Jan 28 2012,7:30p EST,,Box Score,@,Milwaukee Bucks,L,,89,100,11,9,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sun Jan 29 2012,6:00p EST,,Box Score,@,Minnesota Timberwolves,W,,106,101,12,9,W 1,
22,Tue Jan 31 2012,7:30p EST,,Box Score,,Charlotte Bobcats,W,,106,73,13,9,W 2,
23,Fri Feb 3 2012,8:30p EST,,Box Score,@,Denver Nuggets,W,,93,89,14,9,W 3,
24,Sat Feb 4 2012,7:00p EST,,Box Score,@,Utah Jazz,L,,87,96,14,10,L 1,
25,Mon Feb 6 2012,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,90,95,14,11,L 2,
26,Thu Feb 9 2012,8:00p EST,,Box Score,@,Boston Celtics,W,OT,88,87,15,11,W 1,
27,Fri Feb 10 2012,8:00p EST,,Box Score,@,New York Knicks,L,,85,92,15,12,L 1,
28,Sun Feb 12 2012,1:00p EST,,Box Score,@,Toronto Raptors,W,,94,92,16,12,W 1,
29,Tue Feb 14 2012,7:30p EST,,Box Score,,Atlanta Hawks,W,,86,78,17,12,W 2,
30,Fri Feb 17 2012,7:30p EST,,Box Score,,Phoenix Suns,W,,111,99,18,12,W 3,
31,Sun Feb 19 2012,6:00p EST,,Box Score,@,Phoenix Suns,L,,90,102,18,13,L 1,
32,Mon Feb 20 2012,7:30p EST,,Box Score,,Portland Trail Blazers,W,,103,92,19,13,W 1,
