G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
58,Mon Apr 9 2012,7:00p EST,,Box Score,@,Indiana Pacers,L,,98,103,20,38,L 3,
59,Wed Apr 11 2012,7:00p EST,,Box Score,,Philadelphia 76ers,L,,75,93,20,39,L 4,
60,Fri Apr 13 2012,7:00p EST,,Box Score,,Boston Celtics,W,,84,79,21,39,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Sun Apr 15 2012,6:00p EST,,Box Score,@,Atlanta Hawks,W,,102,86,22,39,W 2,
62,Mon Apr 16 2012,7:00p EST,,Box Score,,Atlanta Hawks,L,,87,109,22,40,L 1,
63,Wed Apr 18 2012,7:30p EST,,Box Score,@,Miami Heat,L,,72,96,22,41,L 2,
64,Sun Apr 22 2012,6:00p EST,,Box Score,@,Detroit Pistons,L,,73,76,22,42,L 3,
65,Mon Apr 23 2012,7:00p EST,,Box Score,@,Milwaukee Bucks,L,,86,92,22,43,L 4,
66,Thu Apr 26 2012,7:00p EST,,Box Score,,New Jersey Nets,W,,98,67,23,43,W 1,
