G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
64,Tue Mar 11 2014,,,Box Score,,Sacramento Kings,W,,99,89,25,39,W 1,
65,Wed Mar 12 2014,,,Box Score,@,Toronto Raptors,L,,87,101,25,40,L 1,
66,Sat Mar 15 2014,,,Box Score,,Indiana Pacers,L,OT,104,112,25,41,L 2,
67,Wed Mar 19 2014,,,Box Score,@,Denver Nuggets,L,,109,118,25,42,L 3,
68,Fri Mar 21 2014,,,Box Score,@,Phoenix Suns,L,,92,98,25,43,L 4,
69,Sat Mar 22 2014,,,Box Score,@,Los Angeles Clippers,L,,103,112,25,44,L 5,
70,Mon Mar 24 2014,,,Box Score,@,Utah Jazz,W,,114,94,26,44,W 1,
71,Wed Mar 26 2014,,,Box Score,,Cleveland Cavaliers,L,,96,97,26,45,L 1,
72,Fri Mar 28 2014,,,Box Score,,Miami Heat,L,,78,110,26,46,L 2,
73,Sat Mar 29 2014,,,Box Score,@,Philadelphia 76ers,L,,98,123,26,47,L 3,
74,Mon Mar 31 2014,,,Box Score,,Milwaukee Bucks,W,,116,111,27,47,W 1,
75,Wed Apr 2 2014,,,Box Score,@,Indiana Pacers,L,,94,101,27,48,L 1,
76,Fri Apr 4 2014,,,Box Score,@,Brooklyn Nets,L,,104,116,27,49,L 2,
77,Sat Apr 5 2014,,,Box Score,,Boston Celtics,W,,115,111,28,49,W 1,
78,Tue Apr 8 2014,,,Box Score,@,Atlanta Hawks,W,,102,95,29,49,W 2,
79,Wed Apr 9 2014,,,Box Score,@,Cleveland Cavaliers,L,,100,122,29,50,L 1,
80,Fri Apr 11 2014,,,Box Score,@,Chicago Bulls,L,,98,106,29,51,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Sun Apr 13 2014,,,Box Score,,Toronto Raptors,L,,107,116,29,52,L 3,
82,Wed Apr 16 2014,,,Box Score,@,Oklahoma City Thunder,L,,111,112,29,53,L 4,
