G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
64,Tue Mar 11 2014,,,Box Score,@,Oklahoma City Thunder,L,,98,106,44,20,L 1,
65,Thu Mar 13 2014,,,Box Score,@,Chicago Bulls,L,,87,111,44,21,L 2,
66,Sun Mar 16 2014,,,Box Score,@,Miami Heat,L,,104,113,44,22,L 3,
67,Mon Mar 17 2014,,,Box Score,,Utah Jazz,W,,124,86,45,22,W 1,
68,Thu Mar 20 2014,,,Box Score,,Minnesota Timberwolves,W,,129,106,46,22,W 2,
69,Sat Mar 22 2014,,,Box Score,@,Cleveland Cavaliers,W,,118,111,47,22,W 3,
70,Mon Mar 24 2014,,,Box Score,@,Charlotte Bobcats,W,,100,89,48,22,W 4,
71,Thu Mar 27 2014,,,Box Score,,Philadelphia 76ers,W,,120,98,49,22,W 5,
72,Sat Mar 29 2014,,,Box Score,,Los Angeles Clippers,L,,107,118,49,23,L 1,
73,Tue Apr 1 2014,,,Box Score,@,Brooklyn Nets,L,,96,105,49,24,L 2,
74,Wed Apr 2 2014,,,Box Score,@,Toronto Raptors,L,,103,107,49,25,L 3,
75,Fri Apr 4 2014,,,Box Score,,Oklahoma City Thunder,W,,111,107,50,25,W 1,
76,Sun Apr 6 2014,,,Box Score,,Denver Nuggets,W,OT,130,125,51,25,W 2,
77,Tue Apr 8 2014,,,Box Score,@,Los Angeles Lakers,W,,145,130,52,25,W 3,
78,Wed Apr 9 2014,,,Box Score,@,Denver Nuggets,L,,116,123,52,26,L 1,
79,Fri Apr 11 2014,,,Box Score,@,Minnesota Timberwolves,L,,110,112,52,27,L 2,
80,Sat Apr 12 2014,,,Box Score,,New Orleans Pelicans,W,,111,104,53,27,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 14 2014,,,Box Score,,San Antonio Spurs,W,,104,98,54,27,W 2,
82,Wed Apr 16 2014,,,Box Score,@,New Orleans Pelicans,L,,100,105,54,28,L 1,
