240,.409,.383,.160,.160,31.3,75.6,52.7,35.5,8.2,10.0,15.6,100.0,83.1,95.9,240,.471,.401,.211,.329,24.4,68.8,47.3,35.7,10.5,2.9,12.1,100.0,95.9,83.1
240,.482,.408,.171,.395,17.4,85.0,48.8,36.7,6.7,17.5,10.1,100.0,95.9,93.6,240,.522,.493,.420,.377,15.0,82.6,51.2,55.2,7.8,7.9,17.4,100.0,93.6,95.9
240,.497,.447,.080,.347,23.3,64.7,45.7,40.6,6.7,6.2,15.6,100.0,96.1,107.2,240,.494,.429,.226,.357,35.3,76.7,54.3,59.4,7.8,15.9,11.0,100.0,107.2,96.1
240,.516,.487,.115,.269,26.2,67.9,49.5,61.1,7.7,6.6,14.7,100.0,99.1,87.0,240,.387,.359,.208,.146,32.1,73.8,50.5,45.5,7.7,5.8,10.5,100.0,87.0,99.1
240,.558,.514,.324,.451,32.5,67.9,47.1,61.3,13.9,0.0,15.0,100.0,109.8,115.6,240,.594,.568,.135,.311,32.1,67.5,52.9,61.5,9.2,4.2,16.8,100.0,115.6,109.8
240,.533,.489,.191,.337,37.8,74.5,57.3,48.8,3.1,5.6,11.3,100.0,112.0,106.8,240,.505,.440,.143,.512,25.5,62.2,42.7,50.0,7.2,13.9,10.4,100.0,106.8,112.0
240,.513,.415,.225,.535,11.1,76.1,44.0,66.7,11.5,14.5,20.1,100.0,85.9,95.5,240,.511,.449,.205,.577,23.9,88.9,56.0,69.7,8.6,9.1,18.4,100.0,95.5,85.9
240,.526,.465,.174,.291,26.2,80.0,50.6,26.3,11.3,7.3,12.6,100.0,104.9,110.1,240,.606,.539,.276,.368,20.0,73.8,49.4,43.2,3.1,7.0,17.7,100.0,110.1,104.9
240,.562,.518,.195,.268,22.5,85.7,52.0,45.0,7.2,7.4,14.9,100.0,105.8,135.5,240,.718,.699,.386,.102,14.3,77.5,48.0,53.8,11.3,1.5,11.5,100.0,135.5,105.8
265,.497,.424,.221,.279,17.0,54.9,36.7,41.2,12.4,6.4,11.1,100.0,99.0,104.2,265,.481,.401,.143,.352,45.1,83.0,63.3,48.6,4.1,7.5,15.3,100.0,104.2,99.0
240,.643,.611,.222,.403,28.6,81.8,58.2,66.7,6.7,3.3,15.9,100.0,121.1,104.5,240,.516,.469,.238,.313,18.2,71.4,41.8,52.8,10.0,5.4,9.0,100.0,104.5,121.1
240,.422,.386,.120,.193,19.6,76.7,45.7,35.5,8.7,5.3,13.5,100.0,82.7,99.1,240,.526,.453,.240,.347,23.3,80.4,54.3,63.3,7.6,6.8,16.4,100.0,99.1,82.7
240,.549,.493,.187,.320,35.3,71.0,52.3,45.7,10.2,6.5,17.4,100.0,106.9,117.1,240,.615,.593,.173,.267,29.0,64.7,47.7,70.7,17.1,4.9,16.0,100.0,117.1,106.9
240,.463,.409,.169,.312,20.5,85.7,49.4,33.3,8.1,4.2,11.2,100.0,93.2,108.1,240,.579,.542,.333,.292,14.3,79.5,50.6,58.8,4.6,7.8,12.9,100.0,108.1,93.2
240,.560,.552,.156,.364,25.6,57.1,40.5,36.6,12.0,4.4,14.4,100.0,109.2,127.8,240,.620,.567,.171,.341,42.9,74.4,59.5,70.5,9.8,4.6,12.9,100.0,127.8,109.2
240,.596,.571,.143,.156,20.0,72.7,45.6,33.3,6.9,5.0,13.6,100.0,112.6,125.2,240,.639,.625,.211,.276,27.3,80.0,54.4,72.1,5.7,1.5,12.3,100.0,125.2,112.6
240,.631,.613,.155,.338,31.0,73.0,54.5,43.9,6.8,3.2,18.1,100.0,115.9,124.9,240,.619,.541,.151,.521,27.0,69.0,45.5,50.0,9.0,8.3,10.9,100.0,124.9,115.9
240,.542,.481,.143,.312,27.0,76.9,47.6,51.4,8.4,0.0,9.3,100.0,113.5,125.4,240,.662,.634,.338,.268,23.1,73.0,52.4,82.5,6.0,6.1,14.1,100.0,125.4,113.5
240,.556,.539,.169,.195,29.0,91.2,61.5,47.4,11.3,5.7,16.1,100.0,104.8,91.3,240,.520,.493,.243,.257,8.8,71.0,38.5,56.3,9.0,9.4,17.9,100.0,91.3,104.8
