G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
23,Tue Dec 18 2012,7:30p EST,,Box Score,@,Miami Heat,L,,92,103,12,11,L 2,
24,Thu Dec 20 2012,6:00p EST,,Box Score,,Oklahoma City Thunder,W,,99,93,13,11,W 1,
25,Sun Dec 23 2012,5:00p EST,,Box Score,@,New York Knicks,L,,91,94,13,12,L 1,
26,Wed Dec 26 2012,7:00p EST,,Box Score,,Houston Rockets,L,,84,87,13,13,L 2,
27,Sat Dec 29 2012,7:00p EST,,Box Score,,Phoenix Suns,W,,111,107,14,13,W 1,
28,Wed Jan 2 2013,7:00p EST,,Box Score,@,Utah Jazz,L,,84,106,14,14,L 1,
29,Thu Jan 3 2013,7:00p EST,,Box Score,@,Denver Nuggets,W,,101,97,15,14,W 1,
30,Sat Jan 5 2013,7:00p EST,,Box Score,,Portland Trail Blazers,L,,97,102,15,15,L 1,
31,Tue Jan 8 2013,7:00p EST,,Box Score,,Atlanta Hawks,W,,108,103,16,15,W 1,
32,Wed Jan 9 2013,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,84,106,16,16,L 1,
33,Fri Jan 11 2013,7:00p EST,,Box Score,@,New Orleans Hornets,L,,92,104,16,17,L 2,
34,Sun Jan 13 2013,6:00p EST,,Box Score,@,San Antonio Spurs,L,,88,106,16,18,L 3,
35,Mon Jan 14 2013,7:30p EST,,Box Score,@,Dallas Mavericks,L,,98,113,16,19,L 4,
36,Thu Jan 17 2013,7:00p EST,,Box Score,,Los Angeles Clippers,L,,77,90,16,20,L 5,
37,Sat Jan 19 2013,7:00p EST,,Box Score,,Houston Rockets,W,,92,79,17,20,W 1,
38,Mon Jan 21 2013,2:00p EST,,Box Score,@,Atlanta Hawks,L,,96,104,17,21,L 1,
39,Wed Jan 23 2013,7:00p EST,,Box Score,,Brooklyn Nets,L,,83,91,17,22,L 2,
40,Fri Jan 25 2013,7:00p EST,,Box Score,@,Washington Wizards,L,,101,114,17,23,L 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sat Jan 26 2013,7:30p EST,,Box Score,@,Charlotte Bobcats,L,,101,102,17,24,L 4,
42,Wed Jan 30 2013,7:00p EST,,Box Score,,Los Angeles Clippers,L,,90,96,17,25,L 5,
43,Fri Feb 1 2013,8:30p EST,,Box Score,,Los Angeles Lakers,L,,100,111,17,26,L 6,
44,Sat Feb 2 2013,7:00p EST,,Box Score,,New Orleans Hornets,W,,115,86,18,26,W 1,
45,Mon Feb 4 2013,7:00p EST,,Box Score,,Portland Trail Blazers,L,,98,100,18,27,L 1,
46,Wed Feb 6 2013,8:00p EST,,Box Score,,San Antonio Spurs,L,,94,104,18,28,L 2,
47,Fri Feb 8 2013,7:00p EST,,Box Score,,New York Knicks,L,,94,100,18,29,L 3,
48,Sun Feb 10 2013,5:00p EST,,Box Score,@,Memphis Grizzlies,L,,88,105,18,30,L 4,
49,Mon Feb 11 2013,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,100,92,19,30,W 1,
50,Wed Feb 13 2013,7:00p EST,,Box Score,,Utah Jazz,L,,93,97,19,31,L 1,
51,Wed Feb 20 2013,7:00p EST,,Box Score,,Philadelphia 76ers,W,,94,87,20,31,W 1,
