G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
20,Fri Dec 7 2012,8:30p EST,,Box Score,,Los Angeles Lakers,W,,114,108,16,4,W 7,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sun Dec 9 2012,6:00p EST,,Box Score,,Indiana Pacers,W,,104,93,17,4,W 8,
22,Wed Dec 12 2012,7:00p EST,,Box Score,,New Orleans Hornets,W,,92,88,18,4,W 9,
23,Fri Dec 14 2012,7:00p EST,,Box Score,,Sacramento Kings,W,,113,103,19,4,W 10,
24,Mon Dec 17 2012,7:00p EST,,Box Score,,San Antonio Spurs,W,,107,93,20,4,W 11,
25,Wed Dec 19 2012,7:30p EST,,Box Score,@,Atlanta Hawks,W,,100,92,21,4,W 12,
26,Thu Dec 20 2012,6:00p EST,,Box Score,@,Minnesota Timberwolves,L,,93,99,21,5,L 1,
27,Tue Dec 25 2012,5:30p EST,,Box Score,@,Miami Heat,L,,97,103,21,6,L 2,
28,Thu Dec 27 2012,7:00p EST,,Box Score,,Dallas Mavericks,W,OT,111,105,22,6,W 1,
29,Sat Dec 29 2012,7:00p EST,,Box Score,@,Houston Rockets,W,,124,94,23,6,W 2,
30,Mon Dec 31 2012,7:00p EST,,Box Score,,Phoenix Suns,W,,114,96,24,6,W 3,
31,Wed Jan 2 2013,7:00p EST,,Box Score,,Brooklyn Nets,L,,93,110,24,7,L 1,
32,Fri Jan 4 2013,7:00p EST,,Box Score,,Philadelphia 76ers,W,,109,85,25,7,W 1,
33,Sun Jan 6 2013,1:00p EST,,Box Score,@,Toronto Raptors,W,,104,92,26,7,W 2,
34,Mon Jan 7 2013,7:00p EST,,Box Score,@,Washington Wizards,L,,99,101,26,8,L 1,
35,Wed Jan 9 2013,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,106,84,27,8,W 1,
36,Fri Jan 11 2013,7:30p EST,,Box Score,@,Los Angeles Lakers,W,,116,101,28,8,W 2,
37,Sun Jan 13 2013,6:00p EST,,Box Score,@,Portland Trail Blazers,W,,87,83,29,8,W 3,
38,Mon Jan 14 2013,7:00p EST,,Box Score,@,Phoenix Suns,W,,102,90,30,8,W 4,
39,Wed Jan 16 2013,7:00p EST,,Box Score,,Denver Nuggets,W,,117,97,31,8,W 5,
40,Fri Jan 18 2013,8:30p EST,,Box Score,@,Dallas Mavericks,W,OT,117,114,32,8,W 6,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sun Jan 20 2013,6:00p EST,,Box Score,@,Denver Nuggets,L,OT,118,121,32,9,L 1,
42,Tue Jan 22 2013,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,109,97,33,9,W 1,
43,Wed Jan 23 2013,7:30p EST,,Box Score,@,Golden State Warriors,L,,99,104,33,10,L 1,
44,Fri Jan 25 2013,7:00p EST,,Box Score,@,Sacramento Kings,W,,105,95,34,10,W 1,
45,Sun Jan 27 2013,12:30p EST,,Box Score,@,Los Angeles Lakers,L,,96,105,34,11,L 1,
46,Thu Jan 31 2013,7:00p EST,,Box Score,,Memphis Grizzlies,W,,106,89,35,11,W 1,
47,Sat Feb 2 2013,7:30p EST,,Box Score,@,Cleveland Cavaliers,L,,110,115,35,12,L 1,
48,Mon Feb 4 2013,7:00p EST,,Box Score,,Dallas Mavericks,W,,112,91,36,12,W 1,
49,Wed Feb 6 2013,7:00p EST,,Box Score,,Golden State Warriors,W,,119,98,37,12,W 2,
50,Fri Feb 8 2013,7:00p EST,,Box Score,,Phoenix Suns,W,,127,96,38,12,W 3,
51,Sun Feb 10 2013,6:00p EST,,Box Score,@,Phoenix Suns,W,,97,69,39,12,W 4,
52,Tue Feb 12 2013,7:00p EST,,Box Score,@,Utah Jazz,L,,94,109,39,13,L 1,
53,Thu Feb 14 2013,7:00p EST,,Box Score,,Miami Heat,L,,100,110,39,14,L 2,
54,Wed Feb 20 2013,7:00p EST,,Box Score,@,Houston Rockets,L,,119,122,39,15,L 3,
55,Fri Feb 22 2013,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,127,111,40,15,W 1,
56,Sun Feb 24 2013,8:30p EST,,Box Score,,Chicago Bulls,W,,102,72,41,15,W 2,
57,Wed Feb 27 2013,7:00p EST,,Box Score,,New Orleans Hornets,W,,119,74,42,15,W 3,
58,Fri Mar 1 2013,8:30p EST,,Box Score,@,Denver Nuggets,L,,103,105,42,16,L 1,
59,Sun Mar 3 2013,12:30p EST,,Box Score,@,Los Angeles Clippers,W,,108,104,43,16,W 1,
60,Tue Mar 5 2013,8:30p EST,,Box Score,,Los Angeles Lakers,W,,122,105,44,16,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Thu Mar 7 2013,8:00p EST,,Box Score,@,New York Knicks,W,,95,94,45,16,W 3,
62,Fri Mar 8 2013,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,116,94,46,16,W 4,
63,Sun Mar 10 2013,12:00p EST,,Box Score,,Boston Celtics,W,,91,79,47,16,W 5,
64,Mon Mar 11 2013,7:30p EST,,Box Score,@,San Antonio Spurs,L,,93,105,47,17,L 1,
65,Wed Mar 13 2013,7:00p EST,,Box Score,,Utah Jazz,W,,110,87,48,17,W 1,
66,Fri Mar 15 2013,7:00p EST,,Box Score,,Orlando Magic,W,,117,104,49,17,W 2,
67,Sun Mar 17 2013,6:30p EST,,Box Score,@,Dallas Mavericks,W,,107,101,50,17,W 3,
68,Tue Mar 19 2013,7:00p EST,,Box Score,,Denver Nuggets,L,,104,114,50,18,L 1,
69,Wed Mar 20 2013,7:00p EST,,Box Score,@,Memphis Grizzlies,L,OT,89,90,50,19,L 2,
70,Fri Mar 22 2013,7:00p EST,,Box Score,@,Orlando Magic,W,,97,89,51,19,W 1,
71,Sun Mar 24 2013,6:00p EST,,Box Score,,Portland Trail Blazers,W,,103,83,52,19,W 2,
72,Wed Mar 27 2013,7:00p EST,,Box Score,,Washington Wizards,W,,103,80,53,19,W 3,
73,Fri Mar 29 2013,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,93,101,53,20,L 1,
