G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
23,Wed Dec 19 2012,7:00p EST,,Box Score,@,Orlando Magic,L,,83,90,3,20,L 5,
24,Fri Dec 21 2012,7:30p EST,,Box Score,@,Detroit Pistons,L,,68,100,3,21,L 6,
25,Sat Dec 22 2012,7:00p EST,,Box Score,,Detroit Pistons,L,,87,96,3,22,L 7,
26,Wed Dec 26 2012,7:00p EST,,Box Score,,Cleveland Cavaliers,L,,84,87,3,23,L 8,
27,Fri Dec 28 2012,7:00p EST,,Box Score,,Orlando Magic,W,,105,97,4,23,W 1,
28,Sat Dec 29 2012,7:00p EST,,Box Score,@,Chicago Bulls,L,,77,87,4,24,L 1,
29,Tue Jan 1 2013,6:00p EST,,Box Score,,Dallas Mavericks,L,,94,103,4,25,L 2,
30,Wed Jan 2 2013,7:00p EST,,Box Score,@,Indiana Pacers,L,,81,89,4,26,L 3,
31,Fri Jan 4 2013,7:00p EST,,Box Score,,Brooklyn Nets,L,2OT,113,115,4,27,L 4,
32,Sun Jan 6 2013,6:00p EST,,Box Score,@,Miami Heat,L,,71,99,4,28,L 5,
33,Mon Jan 7 2013,7:00p EST,,Box Score,,Oklahoma City Thunder,W,,101,99,5,28,W 1,
34,Sat Jan 12 2013,7:00p EST,,Box Score,,Atlanta Hawks,W,,93,83,6,28,W 2,
35,Mon Jan 14 2013,7:00p EST,,Box Score,,Orlando Magic,W,,120,91,7,28,W 3,
36,Wed Jan 16 2013,7:00p EST,,Box Score,@,Sacramento Kings,L,,94,95,7,29,L 1,
37,Fri Jan 18 2013,7:00p EST,,Box Score,@,Denver Nuggets,W,,112,108,8,29,W 1,
38,Sat Jan 19 2013,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,87,94,8,30,L 1,
39,Mon Jan 21 2013,7:00p EST,,Box Score,@,Portland Trail Blazers,W,,98,95,9,30,W 1,
40,Wed Jan 23 2013,7:00p EST,,Box Score,@,Utah Jazz,L,,88,92,9,31,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Fri Jan 25 2013,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,114,101,10,31,W 1,
42,Sat Jan 26 2013,7:00p EST,,Box Score,,Chicago Bulls,W,,86,73,11,31,W 2,
43,Mon Jan 28 2013,7:00p EST,,Box Score,,Sacramento Kings,L,,94,96,11,32,L 1,
44,Wed Jan 30 2013,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,84,92,11,33,L 2,
