G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
57,Mon Feb 25 2013,7:00p EST,,Box Score,@,Utah Jazz,W,OT,110,107,30,27,W 1,
58,Fri Mar 1 2013,7:30p EST,,Box Score,,Golden State Warriors,W,,94,86,31,27,W 2,
59,Tue Mar 5 2013,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,109,101,32,27,W 3,
60,Wed Mar 6 2013,7:00p EST,,Box Score,@,Indiana Pacers,W,,83,81,33,27,W 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Fri Mar 8 2013,8:00p EST,,Box Score,,Atlanta Hawks,W,OT,107,102,34,27,W 5,
62,Sun Mar 10 2013,12:00p EST,,Box Score,@,Oklahoma City Thunder,L,,79,91,34,28,L 1,
63,Tue Mar 12 2013,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,74,100,34,29,L 2,
64,Wed Mar 13 2013,7:30p EST,,Box Score,,Toronto Raptors,W,,112,88,35,29,W 1,
65,Sat Mar 16 2013,7:30p EST,,Box Score,,Charlotte Bobcats,W,,105,88,36,29,W 2,
66,Mon Mar 18 2013,8:00p EST,,Box Score,,Miami Heat,L,,103,105,36,30,L 1,
67,Wed Mar 20 2013,7:00p EST,,Box Score,@,New Orleans Hornets,L,,86,87,36,31,L 2,
68,Fri Mar 22 2013,7:30p EST,,Box Score,@,Dallas Mavericks,L,,94,104,36,32,L 3,
69,Sat Mar 23 2013,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,106,110,36,33,L 4,
70,Tue Mar 26 2013,7:00p EST,,Box Score,,New York Knicks,L,,85,100,36,34,L 5,
71,Wed Mar 27 2013,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,93,92,37,34,W 1,
72,Fri Mar 29 2013,7:30p EST,,Box Score,,Atlanta Hawks,W,,118,107,38,34,W 2,
73,Sun Mar 31 2013,7:30p EST,,Box Score,@,New York Knicks,L,,89,108,38,35,L 1,
74,Mon Apr 1 2013,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,100,110,38,36,L 2,
75,Wed Apr 3 2013,7:30p EST,,Box Score,,Detroit Pistons,W,,98,93,39,36,W 1,
76,Fri Apr 5 2013,7:30p EST,,Box Score,,Cleveland Cavaliers,L,,91,97,39,37,L 1,
77,Sun Apr 7 2013,6:00p EST,,Box Score,,Washington Wizards,W,,107,96,40,37,W 1,
78,Wed Apr 10 2013,8:00p EST,,Box Score,,Brooklyn Nets,L,,93,101,40,38,L 1,
79,Fri Apr 12 2013,7:30p EST,,Box Score,@,Miami Heat,L,,101,109,40,39,L 2,
80,Sat Apr 13 2013,7:00p EST,,Box Score,@,Orlando Magic,W,,120,88,41,39,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Wed Apr 17 2013,8:00p EST,,Box Score,@,Toronto Raptors,L,,90,114,41,40,L 1,
