G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
64,Tue Mar 11 2014,,,Box Score,@,Detroit Pistons,L,,89,99,22,42,L 3,
65,Wed Mar 12 2014,,,Box Score,@,Philadelphia 76ers,W,,115,98,23,42,W 1,
66,Sat Mar 15 2014,,,Box Score,@,Chicago Bulls,L,,87,94,23,43,L 1,
67,Sun Mar 16 2014,,,Box Score,@,Minnesota Timberwolves,L,,102,104,23,44,L 2,
68,Tue Mar 18 2014,,,Box Score,,Washington Wizards,W,OT,117,111,24,44,W 1,
69,Fri Mar 21 2014,,,Box Score,,San Antonio Spurs,L,,79,99,24,45,L 1,
70,Sun Mar 23 2014,,,Box Score,,Milwaukee Bucks,W,,124,107,25,45,W 1,
71,Wed Mar 26 2014,,,Box Score,,New York Knicks,L,,99,107,25,46,L 1,
72,Fri Mar 28 2014,,,Box Score,@,Oklahoma City Thunder,L,,81,94,25,47,L 2,
73,Sat Mar 29 2014,,,Box Score,@,Dallas Mavericks,L,,100,103,25,48,L 3,
74,Mon Mar 31 2014,,,Box Score,@,New Orleans Pelicans,W,,102,97,26,48,W 1,
75,Wed Apr 2 2014,,,Box Score,,Los Angeles Lakers,W,,107,102,27,48,W 2,
76,Fri Apr 4 2014,,,Box Score,@,Golden State Warriors,L,,69,102,27,49,L 1,
77,Sun Apr 6 2014,,,Box Score,,Dallas Mavericks,L,,91,93,27,50,L 2,
78,Tue Apr 8 2014,,,Box Score,,Oklahoma City Thunder,L,,92,107,27,51,L 3,
79,Wed Apr 9 2014,,,Box Score,@,Portland Trail Blazers,L,,99,100,27,52,L 4,
80,Sat Apr 12 2014,,,Box Score,@,Los Angeles Clippers,L,,101,117,27,53,L 5,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Sun Apr 13 2014,,,Box Score,,Minnesota Timberwolves,W,,106,103,28,53,W 1,
82,Wed Apr 16 2014,,,Box Score,,Phoenix Suns,L,,99,104,28,54,L 1,
