5,New Orleans Hornets*,82,19830,2882,6306,.457,557,1562,.357,2325,4744,.490,1390,1805,.770,769,2457,3226,1739,497,396,1192,1674,7711,94.0
6,Miami Heat*,82,19780,2869,6614,.434,546,1584,.345,2323,5030,.462,1473,1980,.744,864,2349,3213,1651,574,246,1081,1788,7757,94.6
7,Portland Trail Blazers*,82,19805,2904,6218,.467,529,1440,.367,2375,4778,.497,1434,1869,.767,868,2385,3253,1573,566,339,1286,1743,7771,94.8
8,Los Angeles Lakers*,82,19830,3008,6888,.437,558,1668,.335,2450,5220,.469,1246,1628,.765,1002,2399,3401,1827,585,372,1116,1700,7820,95.4
9,Atlanta Hawks*,82,19730,3009,6537,.460,459,1358,.338,2550,5179,.492,1380,1782,.774,839,2488,3327,1751,548,348,1026,1517,7857,95.8
10,Dallas Mavericks*,82,19705,2996,6656,.450,508,1480,.343,2488,5176,.481,1373,1830,.750,880,2459,3339,1689,623,303,1114,1650,7873,96.0
11,Charlotte Bobcats,82,19805,2956,6492,.455,577,1609,.359,2379,4883,.487,1489,1908,.780,804,2446,3250,1777,601,496,1082,1730,7978,97.3
12,Philadelphia 76ers*,82,19930,2996,6638,.451,468,1375,.340,2528,5263,.480,1536,1987,.773,881,2608,3489,1762,583,376,1168,1544,7996,97.5
13,Memphis Grizzlies*,82,19880,2967,6489,.457,587,1592,.369,2380,4897,.486,1482,1948,.761,905,2387,3292,1724,613,505,1367,1754,8003,97.6
14,San Antonio Spurs*,82,19780,3127,6860,.456,479,1305,.367,2648,5555,.477,1301,1698,.766,884,2494,3378,1685,567,374,1095,1701,8034,98.0
15,New Jersey Nets,82,20005,3069,6602,.465,507,1393,.364,2562,5209,.492,1589,2115,.751,849,2575,3424,1824,561,375,1010,1638,8234,100.4
16,Detroit Pistons,82,19880,3110,6405,.486,523,1461,.358,2587,4944,.523,1503,1962,.766,866,2470,3336,1910,568,381,1160,1545,8246,100.6
17,Indiana Pacers*,82,19780,3071,6837,.449,511,1423,.359,2560,5414,.473,1618,2157,.750,931,2618,3549,1670,615,467,1143,1758,8271,100.9
18,Oklahoma City Thunder*,82,20005,3123,6823,.458,482,1335,.361,2641,5488,.481,1557,2093,.744,932,2395,3327,1712,587,356,1152,1767,8285,101.0
19,Utah Jazz,82,19880,2967,6460,.459,592,1573,.376,2375,4887,.486,1777,2285,.778,925,2426,3351,1700,609,411,1199,1802,8303,101.3
20,Los Angeles Clippers,82,19855,3046,6688,.455,584,1598,.365,2462,5090,.484,1670,2167,.771,914,2410,3324,1827,659,404,1125,1811,8346,101.8
21,Denver Nuggets*,82,19705,3153,6876,.459,576,1675,.344,2577,5201,.495,1539,2036,.756,864,2525,3389,1820,611,488,1127,1864,8421,102.7
22,Houston Rockets,82,19880,3266,6979,.468,448,1250,.358,2818,5729,.492,1526,1954,.781,955,2552,3507,1707,588,449,1125,1754,8506,103.7
23,Cleveland Cavaliers,82,19755,3232,6804,.475,664,1614,.411,2568,5190,.495,1438,1894,.759,894,2676,3570,1984,619,489,1111,1747,8566,104.5
24,Sacramento Kings,82,19855,3260,6826,.478,480,1353,.355,2780,5473,.508,1589,2085,.762,868,2508,3376,1779,666,464,1204,1723,8589,104.7
25,Washington Wizards,82,19930,3174,6741,.471,560,1500,.373,2614,5241,.499,1676,2202,.761,994,2607,3601,1898,624,413,1293,1662,8584,104.7
26,Toronto Raptors,82,19780,3213,6668,.482,541,1438,.376,2672,5230,.511,1672,2175,.769,912,2457,3369,1854,625,456,1141,1620,8639,105.4
27,Golden State Warriors,82,19830,3173,6788,.467,567,1586,.358,2606,5202,.501,1755,2262,.776,1051,2623,3674,2029,672,352,1324,1512,8668,105.7
28,New York Knicks*,82,19780,3242,6870,.472,536,1442,.372,2706,5428,.499,1650,2165,.762,964,2646,3610,1682,586,360,1250,1703,8670,105.7
29,Phoenix Suns,82,20005,3309,7018,.472,585,1595,.367,2724,5423,.502,1481,1964,.754,985,2647,3632,1890,644,356,1189,1740,8684,105.9
30,Minnesota Timberwolves,82,19780,3230,6902,.468,639,1707,.374,2591,5195,.499,1733,2227,.778,913,2577,3490,2031,777,447,1183,1717,8832,107.7

1,Atlanta Hawks*,82,19730,.462,13.5,.778,.233,.175,.097,.274,.222,.494,.649,.434,.390,.436,.352,.550,.045,263,.182,692,.882,.349,.380,13,1
2,Boston Celtics*,82,19780,.486,12.1,.820,.313,.140,.113,.254,.180,.513,.674,.376,.445,.420,.365,.597,.043,256,.265,1041,.882,.260,.467,8,0
3,Charlotte Bobcats,82,19805,.451,12.0,.811,.334,.145,.097,.235,.189,.480,.610,.354,.395,.410,.327,.560,.045,242,.275,995,.860,.187,.373,18,0
4,Chicago Bulls*,82,19830,.462,12.5,.785,.304,.151,.102,.229,.215,.489,.638,.389,.404,.397,.361,.548,.052,314,.257,986,.863,.275,.373,17,0
5,Cleveland Cavaliers,82,19755,.434,12.3,.776,.296,.179,.097,.203,.224,.461,.610,.355,.333,.398,.342,.542,.051,312,.239,874,.847,.234,.370,7,0
6,Dallas Mavericks*,82,19705,.475,13.6,.726,.240,.162,.125,.199,.274,.516,.684,.407,.423,.461,.365,.565,.053,321,.181,723,.905,.293,.392,18,1
7,Denver Nuggets*,82,19705,.476,12.3,.742,.349,.133,.074,.186,.258,.506,.633,.371,.378,.414,.388,.497,.059,355,.290,1122,.875,.286,.400,17,1
8,Detroit Pistons,82,19880,.460,12.0,.811,.307,.150,.132,.222,.189,.479,.634,.376,.376,.396,.376,.507,.043,246,.249,987,.892,.365,.397,18,1
9,Golden State Warriors,82,19830,.461,13.0,.752,.276,.169,.093,.214,.248,.484,.656,.370,.349,.412,.392,.489,.048,317,.212,925,.866,.295,.432,19,1
10,Houston Rockets,82,19880,.454,12.9,.736,.263,.203,.092,.177,.264,.486,.644,.394,.405,.398,.367,.553,.026,165,.247,1063,.851,.227,.400,15,0
11,Indiana Pacers*,82,19780,.442,13.2,.756,.245,.182,.116,.213,.244,.471,.627,.402,.397,.391,.354,.450,.047,288,.202,806,.892,.203,.394,11,0
12,Los Angeles Clippers,82,19855,.457,12.1,.770,.307,.199,.081,.183,.230,.493,.664,.393,.369,.368,.338,.548,.085,502,.227,883,.864,.254,.319,18,0
13,Los Angeles Lakers*,82,19830,.463,12.7,.780,.256,.206,.118,.199,.220,.494,.666,.428,.441,.373,.352,.527,.046,287,.206,878,.819,.286,.411,22,1
14,Memphis Grizzlies*,82,19880,.471,10.8,.864,.309,.244,.107,.204,.136,.492,.660,.407,.398,.388,.334,.488,.042,265,.255,1071,.906,.267,.389,25,0
15,Miami Heat*,82,19780,.481,13.7,.765,.242,.155,.102,.267,.235,.515,.695,.458,.403,.428,.370,.479,.053,308,.200,792,.819,.327,.435,11,1
16,Milwaukee Bucks,82,19830,.430,12.8,.784,.268,.165,.123,.227,.216,.454,.585,.372,.381,.400,.342,.480,.026,160,.220,797,.882,.299,.395,11,0
17,Minnesota Timberwolves,82,19780,.441,12.7,.777,.241,.233,.099,.204,.223,.459,.611,.387,.391,.395,.376,.476,.034,207,.195,780,.779,.204,.458,27,1
18,New Jersey Nets,82,20005,.440,12.8,.799,.236,.213,.123,.227,.201,.464,.606,.422,.384,.398,.343,.550,.052,307,.189,677,.808,.272,.353,18,1
19,New Orleans Hornets*,82,19830,.459,12.8,.808,.223,.213,.136,.237,.192,.482,.657,.401,.402,.436,.360,.523,.036,210,.192,747,.863,.322,.370,13,2
20,New York Knicks*,82,19780,.457,13.5,.697,.265,.166,.086,.179,.303,.496,.665,.377,.382,.411,.368,.475,.054,349,.206,860,.821,.270,.424,12,0
21,Oklahoma City Thunder*,82,20005,.464,12.5,.788,.284,.159,.126,.218,.212,.495,.686,.354,.404,.403,.347,.488,.072,443,.208,825,.848,.187,.354,11,0
22,Orlando Magic*,82,19830,.461,14.1,.672,.253,.158,.096,.164,.328,.507,.671,.405,.411,.411,.366,.454,.065,388,.181,692,.835,.243,.367,18,1
23,Philadelphia 76ers*,82,19930,.461,12.4,.816,.258,.175,.170,.213,.184,.485,.672,.379,.412,.405,.355,.557,.051,323,.199,812,.831,.244,.403,15,0
24,Phoenix Suns,82,20005,.470,13.4,.729,.253,.167,.116,.193,.271,.505,.701,.385,.429,.396,.377,.531,.049,299,.195,887,.869,.263,.410,15,0
25,Portland Trail Blazers*,82,19805,.447,12.6,.772,.283,.168,.115,.206,.228,.477,.645,.387,.378,.376,.345,.515,.046,270,.220,891,.934,.317,.391,23,0
26,Sacramento Kings,82,19855,.449,12.0,.817,.265,.219,.112,.221,.183,.475,.680,.360,.401,.380,.335,.480,.047,299,.219,960,.879,.286,.403,24,1
27,San Antonio Spurs*,82,19780,.475,12.7,.739,.264,.201,.106,.167,.261,.503,.662,.430,.407,.400,.397,.507,.029,166,.234,988,.858,.367,.421,7,0
28,Toronto Raptors,82,19780,.465,11.8,.838,.325,.157,.112,.245,.162,.494,.627,.414,.439,.394,.316,.534,.053,325,.262,1012,.872,.234,.337,12,0
29,Utah Jazz,82,19880,.465,12.1,.809,.296,.181,.111,.221,.191,.493,.652,.398,.396,.406,.346,.588,.055,330,.229,910,.862,.184,.368,16,1
30,Washington Wizards,82,19930,.443,12.2,.828,.281,.171,.129,.247,.172,.465,.648,.353,.382,.380,.332,.468,.060,389,.212,827,.890,.292,.348,11,0

1,Atlanta Hawks*,82,19730,.460,12.8,.792,.272,.165,.100,.255,.208,.492,.650,.404,.409,.415,.338,.532,.047,275,.219,865,.861,.261,.363
2,Boston Celtics*,82,19780,.434,12.5,.795,.279,.161,.133,.222,.205,.459,.609,.389,.367,.376,.340,.497,.041,240,.221,784,.851,.266,.363
3,Charlotte Bobcats,82,19805,.455,12.8,.752,.302,.148,.104,.199,.248,.487,.630,.378,.382,.407,.359,.541,.054,312,.238,881,.847,.286,.359
4,Chicago Bulls*,82,19830,.430,13.0,.799,.263,.167,.120,.250,.201,.456,.632,.345,.389,.378,.326,.504,.040,251,.222,832,.836,.230,.346
5,Cleveland Cavaliers,82,19755,.475,12.6,.763,.284,.172,.108,.198,.237,.495,.652,.380,.432,.404,.411,.548,.046,285,.228,948,.870,.265,.432
6,Dallas Mavericks*,82,19705,.450,12.7,.778,.265,.186,.116,.211,.222,.481,.664,.401,.396,.367,.343,.504,.050,317,.202,798,.854,.241,.385
7,Denver Nuggets*,82,19705,.459,13.3,.756,.264,.164,.095,.233,.244,.495,.660,.416,.412,.400,.344,.516,.042,263,.216,915,.849,.255,.396
8,Detroit Pistons,82,19880,.486,12.3,.772,.318,.149,.093,.212,.228,.523,.677,.405,.404,.427,.358,.558,.055,337,.250,999,.891,.290,.401
9,Golden State Warriors,82,19830,.467,12.3,.766,.295,.184,.102,.185,.234,.501,.658,.392,.366,.432,.358,.581,.053,334,.224,953,.907,.267,.381
10,Houston Rockets,82,19880,.468,12.0,.821,.273,.211,.112,.224,.179,.492,.661,.397,.409,.417,.358,.471,.048,311,.225,961,.850,.242,.421
11,Indiana Pacers*,82,19780,.449,12.9,.792,.259,.166,.128,.238,.208,.473,.622,.398,.368,.420,.359,.482,.044,268,.221,882,.855,.258,.403
