G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
57,Tue Feb 24 2015,8:30p EST,,Box Score,@,Dallas Mavericks,L,,92,99,37,20,L 3,
58,Fri Feb 27 2015,7:30p EST,,Box Score,,Golden State Warriors,L,,89,113,37,21,L 4,
59,Sat Feb 28 2015,7:30p EST,,Box Score,@,New York Knicks,L,,98,103,37,22,L 5,
60,Mon Mar 2 2015,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,114,103,38,22,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Wed Mar 4 2015,7:30p EST,,Box Score,,Cleveland Cavaliers,L,,112,120,38,23,L 1,
62,Fri Mar 6 2015,7:00p EST,,Box Score,@,Charlotte Hornets,L,,94,103,38,24,L 2,
63,Sun Mar 8 2015,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,104,108,38,25,L 3,
64,Tue Mar 10 2015,8:30p EST,,Box Score,@,San Antonio Spurs,L,,107,117,38,26,L 4,
65,Fri Mar 13 2015,7:30p EST,,Box Score,,Miami Heat,W,,102,92,39,26,W 1,
66,Sun Mar 15 2015,7:00p EST,,Box Score,,Portland Trail Blazers,L,,97,113,39,27,L 1,
67,Mon Mar 16 2015,7:00p EST,,Box Score,@,Indiana Pacers,W,,117,98,40,27,W 1,
68,Wed Mar 18 2015,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,105,100,41,27,W 2,
69,Fri Mar 20 2015,8:00p EST,,Box Score,@,Chicago Bulls,L,,92,108,41,28,L 1,
70,Sun Mar 22 2015,4:00p EST,,Box Score,,New York Knicks,W,,106,89,42,28,W 1,
71,Tue Mar 24 2015,7:30p EST,,Box Score,@,Detroit Pistons,L,,104,108,42,29,L 1,
72,Wed Mar 25 2015,7:00p EST,,Box Score,,Chicago Bulls,L,,103,116,42,30,L 2,
73,Fri Mar 27 2015,7:30p EST,,Box Score,,Los Angeles Lakers,W,,94,83,43,30,W 1,
74,Mon Mar 30 2015,7:30p EST,NBATV,Box Score,,Houston Rockets,W,,99,96,44,30,W 2,
75,Wed Apr 1 2015,8:00p EST,,Box Score,@,Minnesota Timberwolves,W,,113,99,45,30,W 3,
76,Fri Apr 3 2015,7:30p EST,,Box Score,@,Brooklyn Nets,L,,109,114,45,31,L 1,
77,Sat Apr 4 2015,7:30p EST,,Box Score,,Boston Celtics,L,OT,116,117,45,32,L 2,
78,Wed Apr 8 2015,7:00p EST,,Box Score,@,Charlotte Hornets,W,,92,74,46,32,W 1,
79,Fri Apr 10 2015,7:00p EST,,Box Score,@,Orlando Magic,W,,101,99,47,32,W 2,
80,Sat Apr 11 2015,7:30p EST,NBA TV,Box Score,@,Miami Heat,W,,107,104,48,32,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Tue Apr 14 2015,7:30p EST,,Box Score,@,Boston Celtics,L,,93,95,48,33,L 1,
82,Wed Apr 15 2015,7:00p EST,ESPN,Box Score,,Charlotte Hornets,W,,92,87,49,33,W 1,
