G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
51,Wed Feb 13 2013,7:00p EST,,Box Score,@,Orlando Magic,W,,108,76,29,22,W 2,
52,Wed Feb 20 2013,8:00p EST,,Box Score,,Miami Heat,L,,90,103,29,23,L 1,
53,Fri Feb 22 2013,7:30p EST,,Box Score,,Sacramento Kings,W,,122,108,30,23,W 1,
54,Sat Feb 23 2013,7:30p EST,,Box Score,@,Milwaukee Bucks,W,,103,102,31,23,W 2,
55,Mon Feb 25 2013,7:30p EST,,Box Score,@,Detroit Pistons,W,,114,103,32,23,W 3,
56,Wed Feb 27 2013,7:00p EST,,Box Score,@,Utah Jazz,W,,102,91,33,23,W 4,
57,Fri Mar 1 2013,7:00p EST,,Box Score,@,Phoenix Suns,L,,87,92,33,24,L 1,
58,Sun Mar 3 2013,6:30p EST,,Box Score,@,Los Angeles Lakers,L,,98,99,33,25,L 2,
59,Mon Mar 4 2013,7:00p EST,,Box Score,@,Denver Nuggets,L,,88,104,33,26,L 3,
60,Wed Mar 6 2013,7:30p EST,,Box Score,,Philadelphia 76ers,W,,107,96,34,26,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Fri Mar 8 2013,8:00p EST,,Box Score,@,Boston Celtics,L,OT,102,107,34,27,L 1,
62,Sat Mar 9 2013,7:00p EST,,Box Score,,Brooklyn Nets,L,,80,93,34,28,L 2,
63,Tue Mar 12 2013,7:30p EST,,Box Score,@,Miami Heat,L,,81,98,34,29,L 3,
64,Wed Mar 13 2013,7:30p EST,,Box Score,,Los Angeles Lakers,W,,96,92,35,29,W 1,
65,Fri Mar 15 2013,7:30p EST,,Box Score,,Phoenix Suns,W,,107,94,36,29,W 2,
66,Sun Mar 17 2013,8:00p EST,,Box Score,@,Brooklyn Nets,W,,105,93,37,29,W 3,
67,Mon Mar 18 2013,7:30p EST,,Box Score,,Dallas Mavericks,L,,113,127,37,30,L 1,
68,Wed Mar 20 2013,7:30p EST,,Box Score,,Milwaukee Bucks,W,,98,90,38,30,W 1,
69,Fri Mar 22 2013,7:30p EST,,Box Score,,Portland Trail Blazers,L,,93,104,38,31,L 1,
70,Sun Mar 24 2013,2:00p EST,,Box Score,@,Milwaukee Bucks,W,,104,99,39,31,W 1,
71,Mon Mar 25 2013,7:00p EST,,Box Score,@,Indiana Pacers,L,,94,100,39,32,L 1,
72,Wed Mar 27 2013,7:00p EST,,Box Score,@,Toronto Raptors,W,,107,88,40,32,W 1,
73,Fri Mar 29 2013,7:30p EST,,Box Score,@,Boston Celtics,L,,107,118,40,33,L 1,
74,Sat Mar 30 2013,7:00p EST,,Box Score,,Orlando Magic,W,,97,88,41,33,W 1,
75,Mon Apr 1 2013,7:30p EST,,Box Score,,Cleveland Cavaliers,W,,102,94,42,33,W 2,
76,Wed Apr 3 2013,7:00p EST,,Box Score,,New York Knicks,L,,82,95,42,34,L 1,
77,Fri Apr 5 2013,7:30p EST,,Box Score,,Philadelphia 76ers,L,,90,101,42,35,L 2,
78,Sat Apr 6 2013,7:30p EST,,Box Score,@,San Antonio Spurs,L,,97,99,42,36,L 3,
79,Wed Apr 10 2013,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,124,101,43,36,W 1,
80,Fri Apr 12 2013,7:30p EST,,Box Score,,Milwaukee Bucks,W,,109,104,44,36,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Tue Apr 16 2013,8:00p EST,,Box Score,,Toronto Raptors,L,,96,113,44,37,L 1,
82,Wed Apr 17 2013,8:00p EST,,Box Score,@,New York Knicks,L,,92,98,44,38,L 2,
