G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
58,Fri Feb 27 2015,7:00p EST,,Box Score,,Washington Wizards,W,,89,81,13,45,W 1,
59,Sun Mar 1 2015,6:00p EST,,Box Score,@,Indiana Pacers,L,,74,94,13,46,L 1,
60,Mon Mar 2 2015,7:00p EST,,Box Score,,Toronto Raptors,L,,103,114,13,47,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Wed Mar 4 2015,8:00p EST,,Box Score,@,Oklahoma City Thunder,L,OT,118,123,13,48,L 3,
62,Fri Mar 6 2015,7:00p EST,,Box Score,,Utah Jazz,L,,83,89,13,49,L 4,
63,Sat Mar 7 2015,7:30p EST,,Box Score,,Atlanta Hawks,W,,92,84,14,49,W 1,
64,Wed Mar 11 2015,7:00p EST,,Box Score,,Chicago Bulls,L,OT,95,104,14,50,L 1,
65,Fri Mar 13 2015,7:00p EST,,Box Score,,Sacramento Kings,W,,114,107,15,50,W 1,
66,Sat Mar 14 2015,7:30p EST,,Box Score,,Brooklyn Nets,L,,87,94,15,51,L 1,
67,Mon Mar 16 2015,7:30p EST,,Box Score,@,Boston Celtics,L,,89,108,15,52,L 2,
68,Wed Mar 18 2015,7:00p EST,,Box Score,,Detroit Pistons,W,,94,83,16,52,W 1,
69,Fri Mar 20 2015,7:00p EST,,Box Score,,New York Knicks,W,,97,81,17,52,W 2,
70,Sun Mar 22 2015,9:30p EST,,Box Score,@,Los Angeles Lakers,L,,87,101,17,53,L 1,
71,Tue Mar 24 2015,10:00p EST,,Box Score,@,Sacramento Kings,L,,106,107,17,54,L 2,
72,Wed Mar 25 2015,9:00p EST,,Box Score,@,Denver Nuggets,W,,99,85,18,54,W 1,
73,Fri Mar 27 2015,7:00p EST,,Box Score,,Los Angeles Clippers,L,,98,119,18,55,L 1,
74,Sun Mar 29 2015,4:30p EST,,Box Score,@,Cleveland Cavaliers,L,,86,87,18,56,L 2,
75,Mon Mar 30 2015,7:00p EST,,Box Score,,Los Angeles Lakers,L,OT,111,113,18,57,L 3,
76,Wed Apr 1 2015,7:00p EST,,Box Score,@,Washington Wizards,L,,93,106,18,58,L 4,
77,Sat Apr 4 2015,7:00p EST,,Box Score,@,Charlotte Hornets,L,,91,92,18,59,L 5,
78,Sun Apr 5 2015,7:30p EST,,Box Score,@,New York Knicks,L,,91,101,18,60,L 6,
79,Wed Apr 8 2015,7:00p EST,,Box Score,,Washington Wizards,L,,90,119,18,61,L 7,
80,Sat Apr 11 2015,8:00p EST,,Box Score,@,Chicago Bulls,L,,107,114,18,62,L 8,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 13 2015,7:00p EST,,Box Score,,Milwaukee Bucks,L,,97,107,18,63,L 9,
82,Wed Apr 15 2015,8:00p EST,,Box Score,,Miami Heat,L,,101,105,18,64,L 10,
