G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
64,Sat Mar 8 2014,,,Box Score,@,Cleveland Cavaliers,W,,107,97,24,40,W 3,
65,Mon Mar 10 2014,,,Box Score,,Philadelphia 76ers,W,,123,110,25,40,W 4,
66,Wed Mar 12 2014,,,Box Score,@,Boston Celtics,W,,116,92,26,40,W 5,
67,Sat Mar 15 2014,,,Box Score,,Milwaukee Bucks,W,,115,94,27,40,W 6,
68,Wed Mar 19 2014,,,Box Score,,Indiana Pacers,W,,92,86,28,40,W 7,
69,Fri Mar 21 2014,,,Box Score,@,Philadelphia 76ers,W,,93,92,29,40,W 8,
70,Sun Mar 23 2014,,,Box Score,,Cleveland Cavaliers,L,,100,106,29,41,L 1,
71,Tue Mar 25 2014,,,Box Score,@,Los Angeles Lakers,L,,96,127,29,42,L 2,
72,Wed Mar 26 2014,,,Box Score,@,Sacramento Kings,W,,107,99,30,42,W 1,
73,Fri Mar 28 2014,,,Box Score,@,Phoenix Suns,L,,88,112,30,43,L 1,
74,Sun Mar 30 2014,,,Box Score,@,Golden State Warriors,W,,89,84,31,43,W 1,
75,Mon Mar 31 2014,,,Box Score,@,Utah Jazz,W,,92,83,32,43,W 2,
76,Wed Apr 2 2014,,,Box Score,,Brooklyn Nets,W,,110,81,33,43,W 3,
77,Fri Apr 4 2014,,,Box Score,,Washington Wizards,L,,89,90,33,44,L 1,
78,Sun Apr 6 2014,,,Box Score,@,Miami Heat,L,,91,102,33,45,L 2,
79,Fri Apr 11 2014,,,Box Score,@,Toronto Raptors,W,,108,100,34,45,W 1,
80,Sun Apr 13 2014,,,Box Score,,Chicago Bulls,W,,100,89,35,45,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Tue Apr 15 2014,,,Box Score,@,Brooklyn Nets,W,,109,98,36,45,W 3,
82,Wed Apr 16 2014,,,Box Score,,Toronto Raptors,W,,95,92,37,45,W 4,
