G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
64,Tue Mar 11 2014,,,Box Score,,San Antonio Spurs,L,,96,104,35,29,L 1,
65,Thu Mar 13 2014,,,Box Score,,Houston Rockets,W,,111,87,36,29,W 1,
66,Sat Mar 15 2014,,,Box Score,,Sacramento Kings,W,,94,87,37,29,W 2,
67,Mon Mar 17 2014,,,Box Score,,Oklahoma City Thunder,L,,85,97,37,30,L 1,
68,Wed Mar 19 2014,,,Box Score,@,Philadelphia 76ers,W,,102,94,38,30,W 1,
69,Fri Mar 21 2014,,,Box Score,@,Indiana Pacers,L,,79,91,38,31,L 1,
70,Sat Mar 22 2014,,,Box Score,,Philadelphia 76ers,W,,91,81,39,31,W 1,
71,Mon Mar 24 2014,,,Box Score,,Indiana Pacers,W,,89,77,40,31,W 2,
72,Fri Mar 28 2014,,,Box Score,,Portland Trail Blazers,L,,74,91,40,32,L 1,
73,Sun Mar 30 2014,,,Box Score,@,Boston Celtics,W,,107,102,41,32,W 1,
74,Mon Mar 31 2014,,,Box Score,,Boston Celtics,W,,94,80,42,32,W 2,
75,Wed Apr 2 2014,,,Box Score,@,Atlanta Hawks,W,,105,92,43,32,W 3,
76,Fri Apr 4 2014,,,Box Score,,Milwaukee Bucks,W,,102,90,44,32,W 4,
77,Sat Apr 5 2014,,,Box Score,@,Washington Wizards,W,,96,78,45,32,W 5,
78,Wed Apr 9 2014,,,Box Score,@,Minnesota Timberwolves,W,,102,87,46,32,W 6,
79,Fri Apr 11 2014,,,Box Score,,Detroit Pistons,W,,106,98,47,32,W 7,
80,Sun Apr 13 2014,,,Box Score,@,New York Knicks,L,,89,100,47,33,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 14 2014,,,Box Score,,Orlando Magic,W,,108,95,48,33,W 1,
82,Wed Apr 16 2014,,,Box Score,@,Charlotte Bobcats,L,OT,86,91,48,34,L 1,
