G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
58,Thu Feb 28 2013,7:00p EST,,Box Score,,Los Angeles Clippers,L,,91,99,36,22,L 1,
59,Fri Mar 1 2013,7:00p EST,,Box Score,@,Toronto Raptors,W,,93,81,37,22,W 1,
60,Sun Mar 3 2013,8:00p EST,,Box Score,,Chicago Bulls,W,,97,92,38,22,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Wed Mar 6 2013,7:00p EST,,Box Score,,Boston Celtics,L,,81,83,38,23,L 1,
62,Fri Mar 8 2013,7:00p EST,,Box Score,@,Orlando Magic,W,,115,86,39,23,W 1,
63,Sun Mar 10 2013,6:00p EST,,Box Score,@,Miami Heat,L,,91,105,39,24,L 1,
64,Wed Mar 13 2013,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,107,91,40,24,W 1,
65,Fri Mar 15 2013,7:00p EST,,Box Score,,Los Angeles Lakers,L,,93,99,40,25,L 1,
66,Sat Mar 16 2013,7:30p EST,,Box Score,@,Philadelphia 76ers,L,,91,98,40,26,L 2,
67,Mon Mar 18 2013,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,111,90,41,26,W 1,
68,Tue Mar 19 2013,7:00p EST,,Box Score,,Orlando Magic,W,,95,73,42,26,W 2,
69,Fri Mar 22 2013,7:00p EST,,Box Score,,Milwaukee Bucks,W,,102,78,43,26,W 3,
70,Sat Mar 23 2013,7:00p EST,,Box Score,@,Chicago Bulls,L,,84,87,43,27,L 1,
71,Mon Mar 25 2013,7:00p EST,,Box Score,,Atlanta Hawks,W,,100,94,44,27,W 1,
72,Wed Mar 27 2013,7:00p EST,,Box Score,@,Houston Rockets,W,,100,91,45,27,W 2,
73,Thu Mar 28 2013,7:30p EST,,Box Score,@,Dallas Mavericks,W,,103,78,46,27,W 3,
74,Sat Mar 30 2013,7:00p EST,,Box Score,@,Phoenix Suns,W,,112,104,47,27,W 4,
75,Mon Apr 1 2013,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,109,106,48,27,W 5,
76,Fri Apr 5 2013,8:00p EST,,Box Score,,Oklahoma City Thunder,L,,75,97,48,28,L 1,
77,Sat Apr 6 2013,7:00p EST,,Box Score,@,Washington Wizards,L,,85,104,48,29,L 2,
78,Tue Apr 9 2013,7:00p EST,,Box Score,,Cleveland Cavaliers,W,,99,94,49,29,W 1,
79,Fri Apr 12 2013,7:00p EST,,Box Score,,Brooklyn Nets,L,,109,117,49,30,L 1,
80,Sun Apr 14 2013,3:30p EST,,Box Score,@,New York Knicks,L,,80,90,49,31,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Wed Apr 17 2013,8:00p EST,,Box Score,,Philadelphia 76ers,L,,95,105,49,32,L 3,
