G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
58,Tue Feb 26 2013,7:00p EST,,Box Score,@,New Orleans Hornets,W,,101,97,34,24,W 1,
59,Fri Mar 1 2013,8:00p EST,,Box Score,,Dallas Mavericks,L,,90,98,34,25,L 1,
60,Sat Mar 2 2013,7:00p EST,,Box Score,@,Chicago Bulls,L,,85,96,34,26,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Wed Mar 6 2013,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,99,78,35,26,W 1,
62,Fri Mar 8 2013,7:30p EST,,Box Score,,Washington Wizards,W,,95,78,36,26,W 2,
63,Sat Mar 9 2013,7:00p EST,,Box Score,@,Atlanta Hawks,W,,93,80,37,26,W 3,
64,Mon Mar 11 2013,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,97,106,37,27,L 1,
65,Tue Mar 12 2013,7:30p EST,,Box Score,,New Orleans Hornets,W,,108,98,38,27,W 1,
66,Sun Mar 17 2013,8:00p EST,,Box Score,,Atlanta Hawks,L,,93,105,38,28,L 1,
67,Mon Mar 18 2013,7:30p EST,,Box Score,@,Detroit Pistons,W,,119,82,39,28,W 1,
68,Wed Mar 20 2013,7:00p EST,,Box Score,@,Dallas Mavericks,W,,113,96,40,28,W 2,
69,Sat Mar 23 2013,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,95,101,40,29,L 1,
70,Sun Mar 24 2013,6:00p EST,,Box Score,@,Phoenix Suns,W,,102,100,41,29,W 1,
71,Wed Mar 27 2013,7:30p EST,,Box Score,@,Portland Trail Blazers,W,,111,93,42,29,W 2,
72,Fri Mar 29 2013,7:00p EST,,Box Score,@,Denver Nuggets,L,,87,109,42,30,L 1,
73,Sat Mar 30 2013,7:00p EST,,Box Score,@,Utah Jazz,L,,107,116,42,31,L 2,
74,Wed Apr 3 2013,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,113,95,43,31,W 1,
75,Thu Apr 4 2013,7:00p EST,,Box Score,,Chicago Bulls,L,,90,92,43,32,L 1,
76,Sat Apr 6 2013,7:30p EST,,Box Score,,Charlotte Bobcats,W,,105,96,44,32,W 1,
77,Tue Apr 9 2013,7:30p EST,,Box Score,,Philadelphia 76ers,W,,104,83,45,32,W 2,
78,Wed Apr 10 2013,8:00p EST,,Box Score,@,Boston Celtics,W,,101,93,46,32,W 3,
79,Fri Apr 12 2013,7:00p EST,,Box Score,@,Indiana Pacers,W,,117,109,47,32,W 4,
80,Sun Apr 14 2013,3:30p EST,,Box Score,@,Toronto Raptors,L,,87,93,47,33,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 15 2013,7:30p EST,,Box Score,,Washington Wizards,W,,106,101,48,33,W 1,
82,Wed Apr 17 2013,8:00p EST,,Box Score,,Detroit Pistons,W,,103,99,49,33,W 2,
