G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
57,Sun Feb 24 2013,6:00p EST,,Box Score,,San Antonio Spurs,L,,87,97,18,39,L 3,
58,Tue Feb 26 2013,7:00p EST,,Box Score,,Minnesota Timberwolves,W,OT,84,83,19,39,W 1,
59,Wed Feb 27 2013,7:30p EST,,Box Score,@,San Antonio Spurs,W,OT,105,101,20,39,W 2,
60,Fri Mar 1 2013,7:00p EST,,Box Score,,Atlanta Hawks,W,,92,87,21,39,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Wed Mar 6 2013,7:00p EST,,Box Score,,Toronto Raptors,L,,71,98,21,40,L 1,
62,Fri Mar 8 2013,7:00p EST,,Box Score,@,Sacramento Kings,L,,112,121,21,41,L 2,
63,Sat Mar 9 2013,7:00p EST,,Box Score,,Houston Rockets,W,,107,105,22,41,W 1,
64,Mon Mar 11 2013,7:00p EST,,Box Score,,Denver Nuggets,L,,93,108,22,42,L 1,
65,Wed Mar 13 2013,7:00p EST,,Box Score,@,Houston Rockets,L,,81,111,22,43,L 2,
66,Fri Mar 15 2013,7:30p EST,,Box Score,@,Atlanta Hawks,L,,94,107,22,44,L 3,
67,Sat Mar 16 2013,7:00p EST,,Box Score,@,Washington Wizards,L,,105,127,22,45,L 4,
68,Mon Mar 18 2013,7:00p EST,,Box Score,,Los Angeles Lakers,W,,99,76,23,45,W 1,
69,Wed Mar 20 2013,7:00p EST,,Box Score,,Washington Wizards,L,,79,88,23,46,L 1,
70,Fri Mar 22 2013,7:00p EST,,Box Score,,Minnesota Timberwolves,L,,86,117,23,47,L 2,
71,Sun Mar 24 2013,6:00p EST,,Box Score,,Brooklyn Nets,L,,100,102,23,48,L 3,
72,Wed Mar 27 2013,7:00p EST,,Box Score,@,Utah Jazz,L,,88,103,23,49,L 4,
73,Thu Mar 28 2013,7:00p EST,,Box Score,,Sacramento Kings,L,,103,117,23,50,L 5,
74,Sat Mar 30 2013,7:00p EST,,Box Score,,Indiana Pacers,L,,104,112,23,51,L 6,
75,Wed Apr 3 2013,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,101,126,23,52,L 7,
76,Fri Apr 5 2013,7:00p EST,,Box Score,,Golden State Warriors,L,,107,111,23,53,L 8,
77,Sun Apr 7 2013,6:00p EST,,Box Score,,New Orleans Hornets,L,,92,95,23,54,L 9,
78,Tue Apr 9 2013,7:00p EST,,Box Score,@,Houston Rockets,L,,98,101,23,55,L 10,
79,Wed Apr 10 2013,7:30p EST,,Box Score,@,Dallas Mavericks,W,,102,91,24,55,W 1,
80,Sat Apr 13 2013,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,93,105,24,56,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 15 2013,7:00p EST,,Box Score,,Houston Rockets,W,,119,112,25,56,W 1,
82,Wed Apr 17 2013,6:00p EST,,Box Score,@,Denver Nuggets,L,,98,118,25,57,L 1,
