G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
57,Sun Mar 3 2013,1:00p EST,,Box Score,@,New York Knicks,W,,99,93,43,14,W 14,
58,Mon Mar 4 2013,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,97,81,44,14,W 15,
59,Wed Mar 6 2013,7:30p EST,,Box Score,,Orlando Magic,W,,97,96,45,14,W 16,
60,Fri Mar 8 2013,8:00p EST,,Box Score,,Philadelphia 76ers,W,,102,93,46,14,W 17,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Sun Mar 10 2013,6:00p EST,,Box Score,,Indiana Pacers,W,,105,91,47,14,W 18,
62,Tue Mar 12 2013,7:30p EST,,Box Score,,Atlanta Hawks,W,,98,81,48,14,W 19,
63,Wed Mar 13 2013,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,98,94,49,14,W 20,
64,Fri Mar 15 2013,7:30p EST,,Box Score,@,Milwaukee Bucks,W,,107,94,50,14,W 21,
65,Sun Mar 17 2013,1:00p EST,,Box Score,@,Toronto Raptors,W,,108,91,51,14,W 22,
66,Mon Mar 18 2013,8:00p EST,,Box Score,@,Boston Celtics,W,,105,103,52,14,W 23,
67,Wed Mar 20 2013,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,98,95,53,14,W 24,
68,Fri Mar 22 2013,7:30p EST,,Box Score,,Detroit Pistons,W,,103,89,54,14,W 25,
69,Sun Mar 24 2013,6:00p EST,,Box Score,,Charlotte Bobcats,W,,109,77,55,14,W 26,
70,Mon Mar 25 2013,7:00p EST,,Box Score,@,Orlando Magic,W,,108,94,56,14,W 27,
71,Wed Mar 27 2013,7:00p EST,,Box Score,@,Chicago Bulls,L,,97,101,56,15,L 1,
72,Fri Mar 29 2013,7:00p EST,,Box Score,@,New Orleans Hornets,W,,108,89,57,15,W 1,
73,Sun Mar 31 2013,6:00p EST,,Box Score,@,San Antonio Spurs,W,,88,86,58,15,W 2,
74,Tue Apr 2 2013,8:00p EST,,Box Score,,New York Knicks,L,,90,102,58,16,L 1,
75,Fri Apr 5 2013,8:00p EST,,Box Score,@,Charlotte Bobcats,W,,89,79,59,16,W 1,
76,Sat Apr 6 2013,7:30p EST,,Box Score,,Philadelphia 76ers,W,,106,87,60,16,W 2,
77,Tue Apr 9 2013,7:30p EST,,Box Score,,Milwaukee Bucks,W,,94,83,61,16,W 3,
78,Wed Apr 10 2013,7:00p EST,,Box Score,@,Washington Wizards,W,,103,98,62,16,W 4,
79,Fri Apr 12 2013,7:30p EST,,Box Score,,Boston Celtics,W,,109,101,63,16,W 5,
80,Sun Apr 14 2013,1:00p EST,,Box Score,,Chicago Bulls,W,,105,93,64,16,W 6,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 15 2013,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,96,95,65,16,W 7,
82,Wed Apr 17 2013,8:00p EST,,Box Score,,Orlando Magic,W,,105,93,66,16,W 8,
