G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Wed Mar 4 2015,8:00p EST,,Box Score,,Detroit Pistons,W,,88,85,33,28,W 1,
62,Fri Mar 6 2015,8:00p EST,,Box Score,,Boston Celtics,L,,98,104,33,29,L 1,
63,Sat Mar 7 2015,7:00p EST,,Box Score,,Memphis Grizzlies,W,,95,89,34,29,W 1,
64,Mon Mar 9 2015,8:00p EST,,Box Score,@,Milwaukee Bucks,W,,114,103,35,29,W 2,
65,Tue Mar 10 2015,7:30p EST,,Box Score,@,Brooklyn Nets,W,,111,91,36,29,W 3,
66,Sun Mar 15 2015,6:00p EST,,Box Score,,Denver Nuggets,L,2OT,111,118,36,30,L 1,
67,Tue Mar 17 2015,8:00p EST,,Box Score,,Milwaukee Bucks,W,,85,84,37,30,W 1,
68,Thu Mar 19 2015,10:00p EST,,Box Score,@,Phoenix Suns,L,,72,74,37,31,L 1,
69,Fri Mar 20 2015,10:30p EST,,Box Score,@,Golden State Warriors,L,,96,112,37,32,L 2,
70,Sun Mar 22 2015,3:30p EST,,Box Score,@,Los Angeles Clippers,L,,100,107,37,33,L 3,
71,Wed Mar 25 2015,8:00p EST,,Box Score,,Houston Rockets,L,,93,95,37,34,L 4,
72,Fri Mar 27 2015,8:00p EST,,Box Score,,Sacramento Kings,W,,102,88,38,34,W 1,
73,Sun Mar 29 2015,4:00p EST,,Box Score,,Minnesota Timberwolves,W,,110,88,39,34,W 2,
74,Wed Apr 1 2015,10:30p EST,,Box Score,@,Los Angeles Lakers,W,,113,92,40,34,W 3,
75,Fri Apr 3 2015,10:00p EST,,Box Score,@,Sacramento Kings,W,,101,95,41,34,W 4,
76,Sat Apr 4 2015,10:00p EST,,Box Score,@,Portland Trail Blazers,L,,90,99,41,35,L 1,
77,Tue Apr 7 2015,8:00p EST,,Box Score,,Golden State Warriors,W,,103,100,42,35,W 1,
78,Wed Apr 8 2015,8:00p EST,,Box Score,@,Memphis Grizzlies,L,,74,110,42,36,L 1,
79,Fri Apr 10 2015,8:00p EST,,Box Score,,Phoenix Suns,W,,90,75,43,36,W 1,
80,Sun Apr 12 2015,7:00p EST,NBA TV,Box Score,@,Houston Rockets,L,,114,121,43,37,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 13 2015,8:00p EST,,Box Score,@,Minnesota Timberwolves,W,,100,88,44,37,W 1,
82,Wed Apr 15 2015,8:00p EST,,Box Score,,San Antonio Spurs,W,,108,103,45,37,W 2,
