G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
58,Wed Feb 25 2015,8:00p EST,,Box Score,@,Minnesota Timberwolves,L,,77,97,33,25,L 5,
59,Fri Feb 27 2015,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,81,89,33,26,L 6,
60,Sat Feb 28 2015,7:00p EST,,Box Score,,Detroit Pistons,W,,99,95,34,26,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Tue Mar 3 2015,8:00p EST,,Box Score,@,Chicago Bulls,L,,92,97,34,27,L 1,
62,Fri Mar 6 2015,7:00p EST,ESPN,Box Score,,Miami Heat,W,,99,97,35,27,W 1,
63,Sat Mar 7 2015,8:30p EST,,Box Score,@,Milwaukee Bucks,L,,85,91,35,28,L 1,
64,Mon Mar 9 2015,7:00p EST,,Box Score,@,Charlotte Hornets,W,,95,69,36,28,W 1,
65,Thu Mar 12 2015,7:00p EST,,Box Score,,Memphis Grizzlies,W,,107,87,37,28,W 2,
66,Sat Mar 14 2015,7:00p EST,NBATV,Box Score,,Sacramento Kings,W,,113,97,38,28,W 3,
67,Mon Mar 16 2015,7:00p EST,,Box Score,,Portland Trail Blazers,W,,105,97,39,28,W 4,
68,Wed Mar 18 2015,10:30p EST,ESPN,Box Score,@,Utah Jazz,W,,88,84,40,28,W 5,
69,Fri Mar 20 2015,10:30p EST,,Box Score,@,Los Angeles Clippers,L,,99,113,40,29,L 1,
70,Sun Mar 22 2015,6:00p EST,,Box Score,@,Sacramento Kings,L,,86,109,40,30,L 2,
71,Mon Mar 23 2015,10:30p EST,,Box Score,@,Golden State Warriors,L,,76,107,40,31,L 3,
72,Wed Mar 25 2015,7:00p EST,,Box Score,,Indiana Pacers,L,,101,103,40,32,L 4,
73,Fri Mar 27 2015,7:00p EST,,Box Score,,Charlotte Hornets,W,2OT,110,107,41,32,W 1,
74,Sun Mar 29 2015,12:30p EST,,Box Score,,Houston Rockets,L,,91,99,41,33,L 1,
75,Wed Apr 1 2015,7:00p EST,,Box Score,,Philadelphia 76ers,W,,106,93,42,33,W 1,
76,Fri Apr 3 2015,7:00p EST,,Box Score,,New York Knicks,W,,101,87,43,33,W 2,
77,Sat Apr 4 2015,8:00p EST,,Box Score,@,Memphis Grizzlies,W,,92,83,44,33,W 3,
78,Wed Apr 8 2015,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,119,90,45,33,W 4,
79,Fri Apr 10 2015,7:30p EST,,Box Score,@,Brooklyn Nets,L,,80,117,45,34,L 1,
80,Sun Apr 12 2015,6:00p EST,,Box Score,,Atlanta Hawks,W,,108,99,46,34,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Tue Apr 14 2015,8:00p EST,TNT,Box Score,@,Indiana Pacers,L,2OT,95,99,46,35,L 1,
82,Wed Apr 15 2015,8:00p EST,,Box Score,@,Cleveland Cavaliers,L,OT,108,113,46,36,L 2,
