5,Atlanta Hawks*,82,19730,2991,6815,.439,720,2112,.341,2271,4703,.483,1262,1651,.764,948,2631,3579,1931,604,404,1317,1611,7964,97.1
6,Miami Heat,82,19730,2960,6523,.454,666,1887,.353,2294,4636,.495,1391,1905,.730,894,2467,3361,1748,646,359,1215,1715,7977,97.3
7,Charlotte Hornets,82,19905,3020,6863,.440,649,1816,.357,2371,5047,.470,1292,1673,.772,728,2890,3618,1815,502,440,1033,1708,7981,97.3
8,Milwaukee Bucks*,82,19930,2917,6681,.437,676,1974,.342,2241,4707,.476,1478,1993,.742,938,2576,3514,1831,708,392,1425,1649,7988,97.4
9,Washington Wizards*,82,19955,2965,6844,.433,657,1885,.349,2308,4959,.465,1434,1942,.738,821,2599,3420,1634,655,350,1145,1610,8021,97.8
10,Chicago Bulls*,82,19880,3095,7109,.435,538,1605,.335,2557,5504,.465,1291,1723,.749,963,2598,3561,1657,614,443,1000,1736,8019,97.8
11,Portland Trail Blazers*,82,19855,3130,7123,.439,524,1552,.338,2606,5571,.468,1298,1713,.758,902,2754,3656,1669,655,297,999,1534,8082,98.6
12,New Orleans Pelicans*,82,19780,3108,6814,.456,537,1605,.335,2571,5209,.494,1329,1751,.759,870,2537,3407,1700,555,475,1003,1533,8082,98.6
13,Cleveland Cavaliers*,82,19780,3121,6850,.456,634,1848,.343,2487,5002,.497,1214,1629,.745,885,2487,3372,1974,642,368,1092,1685,8090,98.7
14,Detroit Pistons,82,19830,3106,6817,.456,635,1789,.355,2471,5028,.491,1312,1699,.772,877,2740,3617,1949,572,391,1146,1584,8159,99.5
15,Golden State Warriors*,82,19730,3031,7084,.428,592,1757,.337,2439,5327,.458,1534,2011,.763,963,2690,3653,1718,680,293,1329,1541,8188,99.9
16,Los Angeles Clippers*,82,19730,2984,6745,.442,683,1959,.349,2301,4786,.481,1560,2105,.741,868,2649,3517,1904,548,245,1171,1766,8211,100.1
17,Houston Rockets*,82,19805,3092,6983,.443,605,1881,.322,2487,5102,.487,1451,1932,.751,973,2621,3594,1752,726,437,1342,1730,8240,100.5
18,Brooklyn Nets*,82,19930,3150,6913,.456,696,1944,.358,2454,4969,.494,1278,1748,.731,937,2699,3636,1944,643,372,1137,1641,8274,100.9
19,Toronto Raptors*,82,19855,3116,6787,.459,633,1828,.346,2483,4959,.501,1410,1923,.733,922,2559,3481,1870,567,413,1182,1668,8275,100.9
