G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
63,Tue Mar 11 2014,,,Box Score,,Milwaukee Bucks,W,,112,101,32,31,W 1,
64,Fri Mar 14 2014,,,Box Score,@,Charlotte Bobcats,L,,93,105,32,32,L 1,
65,Sun Mar 16 2014,,,Box Score,,Sacramento Kings,W,,104,102,33,32,W 1,
66,Wed Mar 19 2014,,,Box Score,@,Dallas Mavericks,W,OT,123,122,34,32,W 2,
67,Thu Mar 20 2014,,,Box Score,@,Houston Rockets,L,,106,129,34,33,L 1,
68,Sun Mar 23 2014,,,Box Score,,Phoenix Suns,L,,120,127,34,34,L 2,
69,Mon Mar 24 2014,,,Box Score,@,Memphis Grizzlies,L,,92,109,34,35,L 3,
70,Wed Mar 26 2014,,,Box Score,,Atlanta Hawks,W,,107,83,35,35,W 1,
71,Fri Mar 28 2014,,,Box Score,,Los Angeles Lakers,W,,143,107,36,35,W 2,
72,Sun Mar 30 2014,,,Box Score,@,Brooklyn Nets,L,,99,114,36,36,L 1,
73,Mon Mar 31 2014,,,Box Score,,Los Angeles Clippers,L,,104,114,36,37,L 2,
74,Wed Apr 2 2014,,,Box Score,,Memphis Grizzlies,W,,102,88,37,37,W 1,
75,Fri Apr 4 2014,,,Box Score,@,Miami Heat,W,2OT,122,121,38,37,W 2,
76,Sat Apr 5 2014,,,Box Score,@,Orlando Magic,L,,92,100,38,38,L 1,
77,Tue Apr 8 2014,,,Box Score,,San Antonio Spurs,W,,110,91,39,38,W 1,
78,Wed Apr 9 2014,,,Box Score,,Chicago Bulls,L,,87,102,39,39,L 1,
79,Fri Apr 11 2014,,,Box Score,,Houston Rockets,W,,112,110,40,39,W 1,
80,Sun Apr 13 2014,,,Box Score,@,Sacramento Kings,L,,103,106,40,40,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 14 2014,10:30p EST,,Box Score,@,Golden State Warriors,L,,120,130,40,41,L 2,
82,Wed Apr 16 2014,,,Box Score,,Utah Jazz,L,2OT,130,136,40,42,L 3,
