G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Mon Dec 26 2011,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,103,107,0,1,L 1,
2,Wed Dec 28 2011,7:00p EST,,Box Score,@,Phoenix Suns,W,,103,83,1,1,W 1,
3,Fri Dec 30 2011,7:00p EST,,Box Score,@,Utah Jazz,L,,99,102,1,2,L 1,
4,Sat Dec 31 2011,6:00p EST,,Box Score,@,Golden State Warriors,W,,107,79,2,2,W 1,
5,Wed Jan 4 2012,7:00p EST,,Box Score,@,New Orleans Hornets,W,,101,93,3,2,W 2,
6,Fri Jan 6 2012,7:00p EST,,Box Score,,Detroit Pistons,W,,96,73,4,2,W 3,
7,Sat Jan 7 2012,8:00p EST,,Box Score,,Toronto Raptors,W,,97,62,5,2,W 4,
8,Mon Jan 9 2012,7:00p EST,,Box Score,,Indiana Pacers,W,,96,86,6,2,W 5,
9,Tue Jan 10 2012,7:00p EST,,Box Score,,Sacramento Kings,W,,112,85,7,2,W 6,
10,Wed Jan 11 2012,7:30p EST,,Box Score,@,New York Knicks,L,,79,85,7,3,L 1,
11,Fri Jan 13 2012,7:00p EST,,Box Score,,Washington Wizards,W,,120,89,8,3,W 1,
12,Sat Jan 14 2012,7:00p EST,,Box Score,@,Washington Wizards,W,,103,90,9,3,W 2,
13,Mon Jan 16 2012,2:00p EST,,Box Score,,Milwaukee Bucks,W,,94,82,10,3,W 3,
14,Wed Jan 18 2012,7:00p EST,,Box Score,,Denver Nuggets,L,OT,104,108,10,4,L 1,
15,Fri Jan 20 2012,7:00p EST,,Box Score,,Atlanta Hawks,W,,90,76,11,4,W 1,
16,Sat Jan 21 2012,7:30p EST,,Box Score,@,Miami Heat,L,,92,113,11,5,L 1,
17,Mon Jan 23 2012,7:00p EST,,Box Score,,Washington Wizards,W,,103,83,12,5,W 1,
18,Wed Jan 25 2012,7:00p EST,,Box Score,,New Jersey Nets,L,OT,90,97,12,6,L 1,
19,Fri Jan 27 2012,7:00p EST,,Box Score,,Charlotte Bobcats,W,,89,72,13,6,W 1,
20,Sat Jan 28 2012,7:00p EST,,Box Score,,Detroit Pistons,W,,95,74,14,6,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Mon Jan 30 2012,7:00p EST,,Box Score,,Orlando Magic,W,,74,69,15,6,W 3,
22,Wed Feb 1 2012,7:00p EST,,Box Score,,Chicago Bulls,W,,98,82,16,6,W 4,
23,Fri Feb 3 2012,7:00p EST,,Box Score,,Miami Heat,L,,79,99,16,7,L 1,
24,Sat Feb 4 2012,7:00p EST,,Box Score,@,Atlanta Hawks,W,,98,87,17,7,W 1,
25,Mon Feb 6 2012,7:00p EST,,Box Score,,Los Angeles Lakers,W,,95,90,18,7,W 2,
26,Wed Feb 8 2012,7:00p EST,,Box Score,,San Antonio Spurs,L,,90,100,18,8,L 1,
27,Fri Feb 10 2012,7:00p EST,,Box Score,,Los Angeles Clippers,L,,77,78,18,9,L 2,
28,Sat Feb 11 2012,7:30p EST,,Box Score,@,Cleveland Cavaliers,W,,99,84,19,9,W 1,
29,Mon Feb 13 2012,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,98,89,20,9,W 2,
30,Wed Feb 15 2012,7:00p EST,,Box Score,@,Orlando Magic,L,,87,103,20,10,L 1,
31,Fri Feb 17 2012,8:00p EST,,Box Score,,Dallas Mavericks,L,,75,82,20,11,L 2,
32,Sun Feb 19 2012,6:00p EST,,Box Score,@,Minnesota Timberwolves,L,,91,92,20,12,L 3,
33,Tue Feb 21 2012,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,76,89,20,13,L 4,
34,Wed Feb 22 2012,7:00p EST,,Box Score,@,Houston Rockets,L,,87,93,20,14,L 5,
35,Tue Feb 28 2012,7:30p EST,,Box Score,@,Detroit Pistons,W,,97,68,21,14,W 1,
36,Wed Feb 29 2012,7:00p EST,,Box Score,,Oklahoma City Thunder,L,,88,92,21,15,L 1,
37,Fri Mar 2 2012,8:00p EST,,Box Score,,Golden State Warriors,W,,105,83,22,15,W 1,
38,Sun Mar 4 2012,7:00p EST,,Box Score,,Chicago Bulls,L,,91,96,22,16,L 1,
39,Mon Mar 5 2012,7:00p EST,,Box Score,@,Milwaukee Bucks,L,,93,97,22,17,L 2,
40,Wed Mar 7 2012,7:00p EST,,Box Score,,Boston Celtics,W,,103,71,23,17,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Fri Mar 9 2012,7:00p EST,,Box Score,,Utah Jazz,W,,104,91,24,17,W 2,
42,Sun Mar 11 2012,12:00p EST,,Box Score,@,New York Knicks,W,,106,94,25,17,W 3,
43,Wed Mar 14 2012,7:00p EST,,Box Score,@,Indiana Pacers,L,,94,111,25,18,L 1,
44,Fri Mar 16 2012,7:00p EST,,Box Score,,Miami Heat,L,,78,84,25,19,L 2,
45,Sat Mar 17 2012,7:00p EST,,Box Score,@,Chicago Bulls,L,,80,89,25,20,L 3,
46,Mon Mar 19 2012,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,105,80,26,20,W 1,
47,Wed Mar 21 2012,7:00p EST,,Box Score,,New York Knicks,L,,79,82,26,21,L 1,
